elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
6.7e-05,0,82,,,True,1,5,3169168,3145560,0,3415336,3332703,0
1.103878,180256,400979,0.16330327401144124,0.36319341736954536,False,1,5,3169168,3145560,0,3415336,3332703,0
2.139549,310022,863647,0.12529653490255815,0.4467325586848387,False,1,5,3169168,3145560,0,3415336,3332703,0
3.1944,1040062,1840626,0.6920789905146448,0.9261775246205786,False,1,5,3169168,3145560,0,3415336,3332703,0
4.242194,1169598,2264638,0.12362733287828871,0.4046710772942576,False,1,5,3169168,3145560,0,3415336,3332703,0
5.295732,2180580,3519827,0.9596067121022167,1.1914037929032062,False,1,5,3169168,3145560,0,3415336,3332703,0
6.349389,2856229,4442212,0.6412415848045377,0.8754125577036798,False,1,5,3169168,3145560,0,3415336,3332703,0
7.413613,3961355,5827528,1.0384338702443967,1.3017149676973365,False,1,5,3169168,3145560,0,3415336,3332703,0
8.470126,4364587,6504181,0.3816631548642515,0.6404588889977987,False,1,5,3169168,3145560,0,3415336,3332703,0
8.503876,4404662,6554074,1.187394425907687,1.478294949265433,True,1,5,3192880,3168987,0,3512540,3429265,0
