elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3168476,3144868,0,7294888,2094828,10191424,1064664,0.0,0.0
1.113,3170684,3146195,0,7227508,2094828,10235404,1064664,0.0,0.0
2.155,3181608,3156799,0,7162820,2094828,10295552,1064664,0.0,0.0
3.192,3187540,3162734,0,7156372,2094828,10303768,1064664,0.0,0.0
4.246,3188420,3163610,0,7150152,2094828,10309372,1064664,0.0,0.0
5.293,3190032,3165221,0,7144388,2094828,10319476,1064664,0.0,0.0
6.347,3191780,3166970,0,7144956,2094828,10322388,1064664,0.0,0.0
7.403,3192360,3167549,0,7146500,2094824,10324452,1064660,0.0,0.0
8.467,3192880,3168987,0,7183944,2094824,10288160,1064660,0.0,0.0
8.521,3192880,3168987,0,7183948,2094824,10288980,1064660,0.0,0.0
