elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3165932,3142748,0,7306164,2094708,10185560,1064608,0.0,0.0
1.125,3170456,3146408,0,7256956,2094708,10228568,1064608,0.0,0.0
2.18,3175400,3151191,0,7198916,2094700,10287380,1064608,0.0,0.0
3.218,3177672,3153450,0,7196236,2094700,10290148,1064608,0.0,0.0
4.253,3182432,3158227,0,7191492,2094700,10301160,1064608,0.0,0.0
5.299,3190508,3166267,0,7184228,2094700,10310252,1064608,0.0,0.0
6.353,3190588,3166347,0,7179236,2094700,10309616,1064608,0.0,0.0
7.392,3190588,3166346,0,7179080,2094700,10310216,1064608,0.0,0.0
8.447,3190604,3166363,0,7180812,2094700,10310748,1064608,0.0,0.0
9.502,3190604,3166363,0,7178576,2094700,10310552,1064608,0.0,0.0
10.553,3190572,3167161,0,7213800,2094700,10272708,1064608,0.0,0.0
10.646,3190572,3167161,0,7213300,2094700,10272408,1064608,0.0,0.0
