Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0111833, 0.00703439, 0.00414766, 0.002412, 5762, 16219, 287205, 115240, 20
0.00962799, 0.00762182, 0.00200454, 0.000422008, 5800, 16265, 58425, 116000, 20
0.00900534, 0.00755556, 0.00144848, 1.3576e-05, 5762, 16223, 738, 115240, 20
0.011393, 0.00962832, 0.00176305, 0.000238937, 5761, 16242, 21771, 115220, 20
0.00823522, 0.00666829, 0.00156555, 0.000149185, 5726, 16146, 12423, 114520, 20
0.00477394, 0.0040043, 0.000768801, 0, 5800, 16279, 0, 116000, 20
0.0051858, 0.00426773, 0.000916134, 0, 5773, 16229, 0, 115460, 20
0.00853435, 0.00757899, 0.000953645, 8.321e-06, 5773, 16249, 123, 115460, 20
0.00539869, 0.00446995, 0.000927538, 0, 5779, 16236, 0, 115580, 20
0.00849064, 0.00731666, 0.00117209, 0.000224666, 5758, 14807, 19926, 115160, 20
0.00529361, 0.00418955, 0.00110249, 0.000164902, 5944, 15042, 18819, 118880, 20
0.0058197, 0.00446148, 0.00135722, 0.00022324, 6600, 16744, 27183, 132000, 20
0.00595671, 0.00422036, 0.00173535, 0.000586499, 12927, 14925, 73185, 258540, 20
0.00499274, 0.00388431, 0.00110721, 0.000195972, 13236, 14111, 21648, 264720, 20
0.00811855, 0.00711798, 0.000998835, 7.8512e-05, 13221, 14112, 5166, 264420, 20
0.0104173, 0.00931978, 0.0010962, 8.6857e-05, 13205, 14135, 6150, 264100, 20
0.00476811, 0.00385423, 0.000912619, 0.000136031, 11806, 13473, 16728, 236120, 20
0.00717507, 0.00629802, 0.000875789, 7.5456e-05, 12042, 13663, 5412, 240840, 20
0.00435213, 0.0034858, 0.000865538, 9.2108e-05, 12774, 13436, 7134, 255480, 20
0.00545297, 0.00458329, 0.00086869, 0.0001438, 14002, 12386, 15990, 280040, 20
0.00363634, 0.00278289, 0.000851479, 0.000221583, 16389, 10144, 30012, 327780, 20
0.00319528, 0.00250474, 0.000689456, 0.000300351, 21139, 5561, 39729, 422780, 20
0.00821585, 0.0042451, 0.0039695, 0.00271903, 62533, 8681, 241572, 1.25066e+06, 20
0.00501876, 0.0041759, 0.000841675, 0.000173321, 62482, 8786, 10455, 1.24964e+06, 20
0.00714383, 0.00581313, 0.00132921, 0.000483187, 62936, 8598, 29397, 1.25872e+06, 20
0.00519766, 0.00446626, 0.000730214, 5.86e-06, 62415, 8639, 123, 1.2483e+06, 20
0.00361243, 0.00243304, 0.00117817, 0.000443988, 58565, 8526, 41943, 1.1713e+06, 20
0.0023553, 0.00192266, 0.000431286, 0.000127286, 64028, 5376, 18573, 1.28056e+06, 20
0.00256239, 0.00213992, 0.000421696, 0.000102676, 58658, 5811, 14391, 1.17316e+06, 20
0.00268129, 0.00211235, 0.000568312, 0.00014678, 42937, 6106, 23616, 858740, 20
0.00755634, 0.00409217, 0.00346328, 0.00170433, 33787, 16213, 173553, 675740, 20
0.00735942, 0.00447613, 0.00288215, 0.00113969, 30605, 18358, 123738, 612100, 20
0.00714467, 0.00444675, 0.00269636, 0.000945261, 27060, 18186, 112914, 541200, 20
0.00605144, 0.00384255, 0.00220729, 0.000725311, 25095, 16886, 87207, 501900, 20
0.00829761, 0.00501968, 0.00327686, 0.00117778, 36398, 21011, 148215, 727960, 20
0.00756554, 0.00480903, 0.00275581, 0.000809308, 26679, 19263, 104304, 533580, 20
0.00685932, 0.00446344, 0.00239461, 0.000650356, 17562, 17161, 86592, 351240, 20
0.0074751, 0.00519598, 0.00227791, 0.000577682, 14285, 16691, 73677, 285700, 20
0.00946178, 0.00638927, 0.00307064, 0.0015977, 17354, 10219, 121770, 347080, 20
0.00985833, 0.0064536, 0.003403, 0.00125606, 19384, 20359, 174414, 387680, 20
0.0078618, 0.00494977, 0.00291077, 0.000946889, 17829, 19366, 128043, 356580, 20
0.00676206, 0.00447627, 0.00228454, 0.000405017, 17013, 18646, 51414, 340260, 20
0.00732368, 0.00519246, 0.00212984, 0.00027705, 16959, 19114, 30135, 339180, 20
0.00580909, 0.00409721, 0.00171097, 0.000408986, 17077, 14897, 58794, 341540, 20
0.0058461, 0.00435084, 0.00149354, 0.000272914, 14571, 15037, 30258, 291420, 20
0.00497224, 0.00363512, 0.00133601, 0.000293494, 9923, 13366, 39114, 198460, 20
0.00400608, 0.00273538, 0.00126983, 0.000188863, 4237, 11345, 21156, 84740, 20
0.00371537, 0.00255405, 0.00116026, 0.000194351, 1688, 9996, 22878, 33760, 20
0.0031582, 0.00214095, 0.00101625, 0.000186746, 1572, 8945, 24108, 31440, 20
0.0022816, 0.00162415, 0.00065636, 0.000155817, 1587, 6057, 17958, 31740, 20
0.00193937, 0.00148475, 0.000453879, 5.1088e-05, 1740, 5632, 3936, 34800, 20
0.00278578, 0.00199544, 0.000788982, 0.00019972, 896, 4345, 18081, 17920, 20
0.00353466, 0.00241815, 0.00111552, 0.000347158, 3292, 8667, 56949, 65840, 20
