elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3168788,3145150,0,7156712,2056012,10313676,1047092,0.0,0.0
1.103,3169344,3144817,0,7095888,2056012,10352480,1047092,0.0,0.0
2.14,3181376,3156650,0,7031072,2056012,10419076,1047092,0.0,0.0
3.173,3183712,3158984,0,7024004,2056012,10426976,1047092,0.0,0.0
4.223,3188196,3163463,0,7015708,2056012,10437608,1047092,0.0,0.0
5.264,3190624,3165872,0,7011540,2056012,10448304,1047092,0.0,0.0
6.315,3193836,3169072,0,7010332,2056012,10452096,1047092,0.0,0.0
7.367,3194492,3169727,0,7013532,2056012,10454496,1047092,0.0,0.0
8.414,3194924,3170159,0,7010208,2056012,10458440,1047092,0.0,0.0
9.452,3195140,3171245,0,7046016,2056012,10420696,1047092,0.0,0.0
9.497,3195140,3171245,0,7046016,2056012,10421756,1047092,0.0,0.0
