elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3264728,3244604,0,7189160,2056012,10286912,1047092,0.0,0.0
1.157,3287004,3262118,0,7122876,2056012,10338992,1047092,0.0,0.0
2.196,3293396,3268466,0,7118944,2056012,10344412,1047092,0.0,0.0
3.238,3294004,3269074,0,7125944,2056012,10344120,1047092,0.0,0.0
4.277,3296180,3271248,0,7131092,2056012,10347544,1047092,0.0,0.0
5.321,3399892,3374962,0,7020156,2056012,10450088,1047092,0.0,0.0
6.377,3404724,3379794,0,7016820,2056012,10454212,1047092,0.0,0.0
7.416,3404724,3379792,0,7009076,2056012,10454652,1047092,0.0,0.0
8.472,3404672,3381404,0,7045304,2056012,10417560,1047092,0.0,0.0
8.522,3404672,3381404,0,7044800,2056012,10417260,1047092,0.0,0.0
