elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3168928,3145864,0,7157772,2056012,10298260,1047092,0.0,0.0
1.114,3169904,3145892,0,7116788,2056012,10338448,1047092,0.0,0.0
2.165,3176792,3152599,0,7044372,2056012,10406168,1047092,0.0,0.0
3.195,3181720,3157527,0,7039644,2056012,10412328,1047092,0.0,0.0
4.239,3187416,3163219,0,7035556,2056012,10418196,1047092,0.0,0.0
5.275,3194152,3169949,0,7038104,2056012,10428084,1047092,0.0,0.0
6.317,3201768,3177566,0,7042072,2056012,10437312,1047092,0.0,0.0
7.362,3201776,3177573,0,7054060,2056012,10437444,1047092,0.0,0.0
8.415,3201776,3177574,0,7054768,2056012,10438164,1047092,0.0,0.0
9.459,3201776,3177573,0,7056060,2056012,10437524,1047092,0.0,0.0
10.501,3201776,3177600,0,7060676,2056012,10436864,1047092,0.0,0.0
10.632,3201740,3178449,0,7092272,2056012,10400308,1047092,0.0,0.0
