elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
6.5e-05,999,2223,,,True,1,4,3280900,3257531,0,3353804,3308559,0
1.108806,525583,567839,0.47313455542865895,0.5101422740749553,False,1,4,3280900,3257531,0,3353804,3308559,0
2.1444,1765070,1850519,1.1968861221689646,1.2385945888772434,False,1,4,3280900,3257531,0,3353804,3308559,0
3.17941,2365477,2490281,0.5800975980580774,0.6181213735496617,False,1,4,3280900,3257531,0,3353804,3308559,0
4.218803,3620431,3788999,1.2073906724606625,1.2494959969503001,False,1,4,3280900,3257531,0,3353804,3308559,0
5.27597,4792712,5016000,1.1088896949306357,1.160650701128471,False,1,4,3280900,3257531,0,3353804,3308559,0
6.334288,6128164,6399961,1.2618625997392874,1.3076985360745152,False,1,4,3280900,3257531,0,3353804,3308559,0
7.377512,7243158,7566136,1.0687962985018418,1.1178567090095421,False,1,4,3280900,3257531,0,3353804,3308559,0
8.421389,7804346,8187166,0.5375995262934389,0.5949261812690476,False,1,4,3280900,3257531,0,3353804,3308559,0
8.459945,7810187,8193755,0.15149336514061643,0.1708936454222773,True,1,4,3404524,3381124,0,3474552,3429242,0
