Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0704041, 0.017223, 0.0531796, 0.02959, 21603, 45754, 956817, 691296, 32
0.0384291, 0.0340736, 0.00435461, 0.000676379, 21569, 45626, 104796, 690208, 32
0.019609, 0.0128206, 0.00678676, 0.000988364, 21591, 45557, 110946, 690912, 32
0.0168743, 0.0129519, 0.00392114, 6.8021e-05, 21491, 45509, 3321, 687712, 32
0.0159409, 0.0124524, 0.00348662, 0.000149117, 21531, 45442, 9594, 688992, 32
0.0164539, 0.0127324, 0.00372033, 0.000247694, 21659, 45686, 18696, 693088, 32
0.0857898, 0.0809854, 0.00480227, 0, 21643, 45673, 0, 692576, 32
0.0239025, 0.0195371, 0.00436336, 0.000154381, 21564, 45594, 7257, 690048, 32
0.0173544, 0.0144535, 0.00289805, 0, 21668, 45630, 0, 693376, 32
0.0166568, 0.013989, 0.00266632, 0, 21676, 45637, 0, 693632, 32
0.0228063, 0.0201512, 0.00265351, 3.948e-06, 21652, 45657, 123, 692864, 32
0.017007, 0.0135632, 0.00344213, 4.782e-06, 21676, 45637, 123, 693632, 32
0.0156679, 0.0128204, 0.00284615, 0, 21491, 45509, 0, 687712, 32
0.01773, 0.0136092, 0.00411976, 0.000655886, 24660, 46659, 68265, 789120, 32
0.019031, 0.0147427, 0.00428728, 0.000658854, 28288, 47513, 61377, 905216, 32
0.0200385, 0.0153257, 0.00471151, 0.000844599, 34335, 48870, 85731, 1.09872e+06, 32
0.0221714, 0.0166966, 0.00547343, 0.00127172, 32000, 50762, 133824, 1.024e+06, 32
0.0235765, 0.0167961, 0.00677916, 0.0016267, 28156, 53415, 136899, 900992, 32
0.0230069, 0.0157561, 0.00724966, 0.00241086, 32163, 53977, 212175, 1.02922e+06, 32
0.0213072, 0.0146353, 0.00667081, 0.00181392, 33866, 51391, 175152, 1.08371e+06, 32
0.0193666, 0.013245, 0.00612063, 0.00173543, 40843, 47603, 216972, 1.30698e+06, 32
0.0236015, 0.016365, 0.00723486, 0.00271368, 49810, 42587, 390648, 1.59392e+06, 32
0.0202317, 0.0155586, 0.00467182, 0.00110846, 49846, 42534, 140466, 1.59507e+06, 32
0.021508, 0.017641, 0.00386515, 0.000543003, 49854, 42522, 52767, 1.59533e+06, 32
0.0157849, 0.0117681, 0.00401563, 0.000568254, 46421, 41125, 59409, 1.48547e+06, 32
0.0199351, 0.0152144, 0.00471934, 0.000996896, 55436, 43568, 129027, 1.77395e+06, 32
0.0180752, 0.0135344, 0.00453946, 0.000831473, 57272, 44328, 107625, 1.8327e+06, 32
