elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
7.1e-05,0,379,,,True,1,5,3175268,3151889,0,3422544,3340097,0
1.080819,333690,530478,0.30875833732993463,0.49049263046618424,False,1,5,3175268,3151889,0,3422544,3340097,0
2.106146,1064577,1594202,0.7128331614393633,1.0374486641832803,False,1,5,3175268,3151889,0,3422544,3340097,0
3.140703,1407623,2219598,0.33158734894111785,0.6045061061151547,False,1,5,3175268,3151889,0,3422544,3340097,0
4.177729,2130307,3192310,0.6968813391331037,0.937982356259222,False,1,5,3175268,3151889,0,3422544,3340097,0
5.21525,3204607,4505200,1.0354487882167716,1.2654103691351737,False,1,5,3175268,3151889,0,3422544,3340097,0
6.242917,3892956,5429255,0.6698171580336635,0.8991774433707276,False,1,5,3175268,3151889,0,3422544,3340097,0
7.278828,4585704,6402488,0.6687328768405241,0.9394944538650905,False,1,5,3175268,3151889,0,3422544,3340097,0
8.317742,5305573,7381179,0.6929055038834909,0.9420330372626654,False,1,5,3175268,3151889,0,3422544,3340097,0
9.358616,5944633,8345307,0.6139647053200381,0.9262675858460828,False,1,5,3175268,3151889,0,3422544,3340097,0
9.386358,5945874,8350771,0.0447335007860091,0.19695717026168713,True,1,5,3194824,3171344,0,3525520,3442758,0
