Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.00882995, 0.00477446, 0.00405441, 0.00239187, 5780, 16250, 285483, 115600, 20
0.0278516, 0.0148025, 0.013047, 0.00675926, 21518, 45466, 736770, 688576, 32
0.00652119, 0.0047389, 0.00178062, 8.7513e-05, 5773, 16229, 7749, 115460, 20
0.00641605, 0.00503849, 0.00137602, 0, 5790, 16251, 0, 115800, 20
0.00565606, 0.00432664, 0.00132802, 0.000100531, 5752, 16226, 6150, 115040, 20
0.0312235, 0.028984, 0.00223742, 0, 5773, 16229, 0, 115460, 20
0.0095889, 0.00797392, 0.00161379, 0.000114229, 5773, 16249, 6027, 115460, 20
0.00568314, 0.00463027, 0.00105051, 0, 5779, 16236, 0, 115580, 20
0.00960004, 0.00674406, 0.00285459, 0.00102674, 15430, 20739, 142065, 308600, 20
0.0236662, 0.0159303, 0.00773437, 0.00258744, 21377, 48872, 248706, 427540, 20
0.0256202, 0.0159345, 0.00968349, 0.00449252, 38742, 40638, 552147, 1.23974e+06, 32
0.0153553, 0.0103463, 0.00500696, 0.000963813, 21626, 35855, 97539, 432520, 20
0.0144771, 0.0108771, 0.00359832, 0.000608041, 19996, 35392, 63468, 399920, 20
0.0135538, 0.0108951, 0.00265716, 9.3634e-05, 20000, 35285, 4797, 400000, 20
0.0121114, 0.00890612, 0.00320372, 0.000498454, 19916, 35519, 50922, 398320, 20
0.0115549, 0.00897657, 0.00257709, 0.000100298, 20021, 35332, 5166, 400420, 20
0.0115234, 0.0086647, 0.00285723, 0.000214299, 19976, 35445, 14391, 399520, 20
0.0145928, 0.0103024, 0.00428899, 0.000821452, 30552, 38573, 86961, 611040, 20
0.0245805, 0.0181003, 0.00647509, 0.00233301, 64757, 39205, 368139, 2.07222e+06, 32
0.0161543, 0.0126279, 0.00352526, 0.000433609, 64778, 39209, 38376, 1.29556e+06, 20
0.00693208, 0.00470762, 0.00222337, 0.000594063, 10460, 18082, 62115, 209200, 20
0.0147218, 0.00998725, 0.00473259, 0.0015136, 28449, 35441, 210576, 568980, 20
0.0153428, 0.0114366, 0.00390492, 0.00078072, 40294, 39375, 84009, 805880, 20
0.0177252, 0.0130822, 0.00464134, 0.000800853, 42989, 40548, 89298, 859780, 20
0.0194986, 0.0131953, 0.00630185, 0.00118897, 43534, 41174, 132348, 870680, 20
0.0181949, 0.0123687, 0.0058252, 0.0014557, 59635, 40062, 176505, 1.1927e+06, 20
0.020643, 0.0144949, 0.00614708, 0.00179602, 48365, 42614, 213897, 967300, 20
0.0170389, 0.0125395, 0.00449781, 0.000880349, 44540, 42402, 132348, 1.42528e+06, 32
0.0115682, 0.00911055, 0.00245629, 0.000167839, 27622, 31628, 8856, 552440, 20
0.0125116, 0.00986139, 0.00264868, 0.00013253, 27596, 31733, 8979, 551920, 20
0.0122801, 0.00985598, 0.00242243, 0.000192668, 27589, 31661, 16728, 551780, 20
0.00309752, 0.00281831, 0.000277815, 3.0235e-05, 21593, 5712, 2706, 431860, 20
0.0115729, 0.00923118, 0.00234064, 0.000142725, 27526, 31626, 9594, 550520, 20
0.0104867, 0.00781787, 0.0026676, 0.000268703, 27855, 31841, 20049, 557100, 20
0.0138825, 0.0102336, 0.00364672, 0.000629069, 35442, 37775, 82287, 708840, 20
0.0186779, 0.0134824, 0.00519391, 0.00130687, 40025, 47384, 123861, 800500, 20
0.0329744, 0.0204799, 0.012492, 0.00484145, 28156, 62187, 512664, 900992, 32
0.0208383, 0.0146892, 0.00614735, 0.000668027, 20195, 55298, 54981, 403900, 20
0.0206154, 0.0156498, 0.00496366, 2.5526e-05, 20210, 55288, 984, 404200, 20
0.0179778, 0.0120509, 0.00592481, 0.00101966, 9043, 50791, 109593, 180860, 20
0.0186768, 0.0121275, 0.00654785, 0.00119066, 11631, 53781, 103689, 232620, 20
0.0220543, 0.0137293, 0.00832298, 0.00212994, 11895, 59923, 165681, 237900, 20
0.0204628, 0.012527, 0.00793463, 0.00168251, 8088, 55975, 166788, 161760, 20
0.0327315, 0.023063, 0.00966534, 0.00137601, 8877, 55049, 112422, 177540, 20
0.00492163, 0.00397791, 0.000942138, 0.000210398, 10359, 8796, 20049, 207180, 20
0.0189498, 0.0132645, 0.00568359, 0.00152714, 21453, 55158, 151167, 429060, 20
