elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
3.7e-05,134,335,,,True,1,5,3168748,3145449,0,3401144,3319233,0
1.077932,465323,664820,0.43157179529381856,0.6164655320650596,False,1,5,3168748,3145449,0,3401144,3319233,0
2.106289,924744,1450471,0.44675224248500006,0.7639862915726159,False,1,5,3168748,3145449,0,3401144,3319233,0
3.137477,1437613,2236475,0.4973575418166104,0.7622317147225179,False,1,5,3168748,3145449,0,3401144,3319233,0
4.165167,2055782,3101776,0.6015129663898607,0.8419862065715248,False,1,5,3168748,3145449,0,3401144,3319233,0
5.202673,2714359,4014879,0.634769410239222,0.8800942832769202,False,1,5,3168748,3145449,0,3401144,3319233,0
6.23527,3093576,4659576,0.36724587554488386,0.6243452013653396,False,1,5,3168748,3145449,0,3401144,3319233,0
7.27222,3977806,5779330,0.8527218195867101,1.0798532829348664,False,1,5,3168748,3145449,0,3401144,3319233,0
8.310857,4679154,6747853,0.6752579577311963,0.9324940870946969,False,1,5,3168748,3145449,0,3401144,3319233,0
9.348645,5224059,7574384,0.5250641696809807,0.7964357332573397,False,1,5,3168748,3145449,0,3401144,3319233,0
10.376324,5627855,8261310,0.39292039719963945,0.6684247411236356,True,1,5,3193396,3168944,0,3488864,3401336,0
11.460993,6437977,9324037,0.7468839877350397,0.9797706760632293,False,1,5,3193396,3168944,0,3488864,3401336,0
12.504192,7128309,10264999,0.66174486284921,0.9019960970030628,False,1,5,3193396,3168944,0,3488864,3401336,0
13.545795,8331827,11665040,1.1554478388379,1.3441214404225381,False,1,5,3193396,3168944,0,3488864,3401336,0
14.585771,9328154,12865647,0.9580293291433623,1.1544570394808378,False,1,5,3193396,3168944,0,3488864,3401336,0
15.624557,10399172,14160733,1.031028674515506,1.2467304956252727,False,1,5,3193396,3168944,0,3488864,3401336,0
16.662285,11058955,15058605,0.6357955791031614,0.8652284890646073,False,1,5,3193396,3168944,0,3488864,3401336,0
17.702989,11407775,15683192,0.3351768141599254,0.600157906157059,False,1,5,3193396,3168944,0,3488864,3401336,0
17.73192,11408853,15689802,0.03726130764096091,0.22847610714912026,True,1,5,3194564,3170994,0,3490020,3407392,0
