elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3169712,3146178,0,6343980,2055988,11147660,1047084,0.0,0.0
1.089,3177660,3153058,0,6297284,2055988,11195524,1047084,0.0,0.0
2.124,3186984,3162381,0,6213284,2055988,11269020,1047084,0.0,0.0
3.149,3188488,3163886,0,6207660,2055988,11272912,1047084,0.0,0.0
4.181,3189656,3165055,0,6205744,2055988,11278028,1047084,0.0,0.0
5.211,3190856,3166254,0,6201476,2055988,11281628,1047084,0.0,0.0
6.248,3191512,3166911,0,6200248,2055988,11282000,1047084,0.0,0.0
7.287,3191908,3167302,0,6201844,2055988,11282348,1047084,0.0,0.0
8.32,3192344,3168569,0,6200852,2055988,11245364,1047084,0.0,0.0
8.351,3192344,3168569,0,6200852,2055988,11245372,1047084,0.0,0.0
