Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.00939684, 0.00483374, 0.00456199, 0.0026287, 5070, 18339, 272814, 101400, 20
0.0128053, 0.0102536, 0.0025499, 0.000560449, 5115, 18366, 75030, 102300, 20
0.0120127, 0.00996897, 0.00204223, 4.2387e-05, 5070, 18337, 2214, 101400, 20
0.0103229, 0.00801489, 0.0023068, 0.00032987, 5093, 18371, 31611, 101860, 20
0.0113726, 0.00951694, 0.00185425, 0.000172179, 5094, 18383, 13653, 101880, 20
0.00888908, 0.00757819, 0.00130951, 0, 5109, 18355, 0, 102180, 20
0.00577908, 0.00455869, 0.00121917, 0, 5080, 18338, 0, 101600, 20
0.0056181, 0.0044499, 0.00116706, 0, 5121, 18403, 0, 102420, 20
0.00599952, 0.00478941, 0.00120879, 0, 5093, 18380, 0, 101860, 20
0.00584333, 0.00458254, 0.00125943, 0, 5091, 18380, 0, 101820, 20
0.00556024, 0.0044356, 0.00112309, 0, 5084, 18325, 0, 101680, 20
0.00552792, 0.0044485, 0.00107841, 0, 5041, 18193, 0, 100820, 20
0.00835342, 0.0061636, 0.0021885, 0.000681262, 5878, 22696, 76875, 117560, 20
0.00683801, 0.00508097, 0.00175591, 0.000395008, 6381, 22435, 46740, 127620, 20
0.00701442, 0.00522321, 0.00179009, 0.000333947, 7157, 20909, 35424, 143140, 20
0.00681175, 0.00469964, 0.00211059, 0.000604447, 8641, 18117, 74415, 172820, 20
0.00575374, 0.00377675, 0.00197582, 0.000699091, 11132, 13369, 86223, 222640, 20
0.00349574, 0.00236782, 0.00112687, 0.000424115, 14710, 7343, 58179, 294200, 20
0.0035021, 0.00219077, 0.00131057, 0.000618754, 26603, 6811, 84624, 532060, 20
0.00312386, 0.00248408, 0.00063776, 0.000160346, 29692, 6631, 12300, 593840, 20
0.00223459, 0.001956, 0.000277796, 2.6138e-05, 29680, 6624, 2091, 593600, 20
0.00528084, 0.00486418, 0.000414962, 0, 29687, 6631, 0, 593740, 20
0.00229715, 0.00196846, 0.000327685, 3.378e-05, 29115, 6543, 2337, 582300, 20
0.00628031, 0.00547372, 0.000804142, 0.00012694, 28336, 6526, 5289, 566720, 20
0.00225706, 0.00191048, 0.000345228, 7.3784e-05, 27241, 6261, 6519, 544820, 20
0.00530098, 0.00362718, 0.00167233, 0.000587808, 50697, 16808, 79950, 1.01394e+06, 20
0.0066692, 0.00563316, 0.00103459, 0.000132375, 51047, 16985, 11808, 1.02094e+06, 20
0.00826338, 0.00743548, 0.000826166, 1.5588e-05, 50984, 16909, 861, 1.01968e+06, 20
0.00805381, 0.00702917, 0.00102333, 8.1475e-05, 51142, 16815, 6396, 1.02284e+06, 20
