Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.00989003, 0.00515965, 0.00472881, 0.00268214, 5115, 18366, 274044, 102300, 20
0.00923058, 0.00681945, 0.00240973, 0.000561818, 5070, 18337, 76014, 101400, 20
0.0105621, 0.00841655, 0.00214354, 0.000310887, 5094, 18383, 33456, 101880, 20
0.00611738, 0.00454481, 0.00157134, 0, 5080, 18338, 0, 101600, 20
0.00607346, 0.00477938, 0.00129298, 0, 5121, 18403, 0, 102420, 20
0.00578237, 0.00449186, 0.00128925, 5.4837e-05, 5091, 18380, 3813, 101820, 20
0.00825486, 0.00684265, 0.00141026, 0, 5070, 18337, 0, 101400, 20
0.0258175, 0.0140308, 0.0117851, 0.00605006, 19047, 50702, 665676, 609504, 32
0.00633286, 0.00499145, 0.00133996, 0.000101266, 5093, 18377, 7872, 101860, 20
0.0148536, 0.011614, 0.00323741, 0.00121387, 19275, 23259, 180564, 385500, 20
0.00802671, 0.00548263, 0.00254257, 0.0008604, 9791, 19334, 106272, 195820, 20
0.0127108, 0.00861159, 0.00409727, 0.0017002, 13256, 22399, 142926, 265120, 20
0.0114609, 0.00642888, 0.0050296, 0.0026421, 37403, 24422, 253995, 748060, 20
0.0109429, 0.00700783, 0.00393401, 0.00160664, 47750, 26279, 167280, 955000, 20
0.0177707, 0.0122437, 0.00552589, 0.00198181, 66792, 42774, 259776, 2.13734e+06, 32
0.015639, 0.0114273, 0.00421033, 0.00107898, 55691, 40318, 131487, 1.11382e+06, 20
0.00834622, 0.00499718, 0.00334764, 0.00112031, 20800, 22235, 110331, 416000, 20
0.0196772, 0.0141498, 0.0055257, 0.00169674, 46149, 42583, 255840, 1.47677e+06, 32
0.0163974, 0.0120196, 0.00437622, 0.000860227, 44091, 41852, 100614, 881820, 20
0.0162385, 0.0131806, 0.00305676, 0.000188997, 44104, 41772, 12423, 882080, 20
0.0118554, 0.0087585, 0.00309573, 0.000918736, 30933, 23740, 110331, 618660, 20
0.0139145, 0.00989415, 0.00401943, 0.000838893, 40669, 39913, 102090, 813380, 20
0.0166872, 0.011895, 0.00479119, 0.00111228, 47028, 41685, 127920, 940560, 20
0.0159942, 0.0114982, 0.00449479, 0.0011296, 57177, 39250, 134931, 1.14354e+06, 20
0.0210007, 0.0144089, 0.00659011, 0.00134685, 45334, 45693, 143172, 906680, 20
0.0202441, 0.0140041, 0.00623875, 0.001844, 63674, 45676, 232593, 1.27348e+06, 20
0.0204278, 0.014425, 0.00600009, 0.0015178, 41833, 45680, 210207, 1.33866e+06, 32
0.0120251, 0.00907279, 0.00295113, 0.00102859, 22587, 18496, 141696, 451740, 20
0.0166399, 0.0119769, 0.00466107, 0.00102051, 35753, 40872, 132102, 715060, 20
0.020228, 0.0155609, 0.00466569, 0.00069619, 42436, 43175, 79581, 848720, 20
0.0206374, 0.0150322, 0.00560368, 0.0013757, 53012, 44071, 131241, 1.06024e+06, 20
0.0135382, 0.00925381, 0.00428292, 0.00137669, 31087, 29072, 117342, 621740, 20
0.00997595, 0.00630222, 0.00367274, 0.00164766, 13400, 18515, 189051, 268000, 20
0.0125282, 0.0093594, 0.0031672, 0.000820784, 9081, 16743, 86961, 181620, 20
0.0465635, 0.0280646, 0.0184972, 0.00638394, 21961, 91808, 527178, 702752, 32
0.0264518, 0.0160573, 0.010393, 0.00232636, 10681, 75066, 172077, 213620, 20
0.0276185, 0.0179352, 0.00968039, 0.00193763, 10350, 73069, 159162, 207000, 20
0.0262131, 0.0176945, 0.00851707, 0.00173789, 12791, 72234, 163590, 255820, 20
0.021799, 0.0145364, 0.00726103, 0.00119984, 13047, 69102, 115497, 260940, 20
0.0230502, 0.0164488, 0.00659971, 0.000913975, 12064, 66701, 78474, 241280, 20
0.0220135, 0.0160091, 0.00600187, 0.00074415, 11284, 65467, 60885, 225680, 20
0.00329268, 0.00283915, 0.000452059, 1.7979e-05, 5294, 7677, 738, 105880, 20
