elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3280332,3257091,0,6358532,2055980,11138572,1047080,0.0,0.0
1.083,3288720,3265835,0,6286928,2055980,11186180,1047080,0.0,0.0
2.119,3299884,3274928,0,6287332,2055980,11194280,1047080,0.0,0.0
3.152,3303108,3278154,0,6297652,2055980,11196408,1047080,0.0,0.0
4.187,3305916,3280961,0,6295448,2055980,11199704,1047080,0.0,0.0
5.219,3405924,3380969,0,6187336,2055980,11300676,1047080,0.0,0.0
6.257,3405924,3380969,0,6191772,2055980,11300444,1047080,0.0,0.0
7.298,3405928,3380973,0,6193852,2055980,11300448,1047080,0.0,0.0
8.335,3405876,3382596,0,6200020,2055980,11262904,1047080,0.0,0.0
8.362,3405876,3382596,0,6198524,2055980,11263184,1047080,0.0,0.0
