Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0419079, 0.0260328, 0.0158733, 0.00869517, 18983, 50777, 947592, 607456, 32
0.0409752, 0.0359725, 0.00500121, 0.00087908, 18953, 50700, 134316, 606496, 32
0.0255202, 0.0197002, 0.00581864, 0.0010476, 18892, 50487, 148707, 604544, 32
0.0183717, 0.0139994, 0.00437088, 4.6974e-05, 18914, 50639, 1968, 605248, 32
0.0188367, 0.0142245, 0.00461043, 0.000216991, 18969, 50615, 14637, 607008, 32
0.0183729, 0.0139085, 0.00446315, 0.00039047, 18907, 50423, 30135, 605024, 32
0.0170164, 0.0138317, 0.00318326, 0, 18909, 50428, 0, 605088, 32
0.0410116, 0.0361966, 0.00481376, 0.000244345, 18916, 50544, 12054, 605312, 32
0.0201228, 0.0161324, 0.00398854, 0, 18943, 50510, 0, 606176, 32
0.018581, 0.0150813, 0.00349817, 0, 18967, 50500, 0, 606944, 32
0.0161004, 0.0132094, 0.00288981, 0, 18907, 50440, 0, 605024, 32
0.0159327, 0.012773, 0.00315866, 0, 18967, 50500, 0, 606944, 32
0.0198495, 0.016108, 0.00373986, 5.36e-06, 18914, 50639, 123, 605248, 32
0.0219896, 0.0167085, 0.00527988, 0.00153954, 36312, 54902, 206763, 1.16198e+06, 32
0.022057, 0.0170069, 0.00504906, 0.000933814, 34353, 53350, 100860, 1.0993e+06, 32
0.0210057, 0.0157059, 0.00529834, 0.0010751, 24582, 52635, 120786, 786624, 32
0.0203235, 0.0147524, 0.00556945, 0.00130235, 21493, 52012, 153381, 687776, 32
0.02448, 0.0160788, 0.00839964, 0.00345297, 56236, 52113, 359283, 1.79955e+06, 32
0.021514, 0.0170728, 0.00443985, 0.00058331, 56280, 52127, 52644, 1.80096e+06, 32
0.0221502, 0.0168013, 0.0053475, 0.00121699, 56242, 52271, 123246, 1.79974e+06, 32
0.0164252, 0.0129298, 0.00349386, 4.199e-06, 56236, 52119, 123, 1.79955e+06, 32
0.018324, 0.012825, 0.00549775, 0.00144645, 30352, 49254, 180441, 971264, 32
0.0180413, 0.0132279, 0.00481215, 0.000861359, 31732, 51162, 89052, 1.01542e+06, 32
0.0200809, 0.0149548, 0.00512494, 0.000887699, 34283, 51534, 92619, 1.09706e+06, 32
0.0186474, 0.0137647, 0.00488135, 0.000899547, 36560, 50236, 98769, 1.16992e+06, 32
