elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
5.6e-05,0,66,,,True,1,5,3169516,3146144,0,3402572,3320170,0
1.076745,439533,646956,0.4082266190624879,0.6008143133856452,False,1,5,3169516,3146144,0,3402572,3320170,0
2.101421,1003505,1516222,0.5503905334654215,0.8483325013712615,False,1,5,3169516,3146144,0,3402572,3320170,0
3.133385,1621478,2405984,0.5988318657618773,0.8622024563274115,False,1,5,3169516,3146144,0,3402572,3320170,0
4.166181,2157315,3222207,0.518821335980537,0.7903035947835665,False,1,5,3169516,3146144,0,3402572,3320170,0
5.192489,2597657,3932335,0.4290547151703411,0.6919252916471378,False,1,5,3169516,3146144,0,3402572,3320170,0
6.222587,3326216,4926672,0.707271126418176,0.9652833195791555,False,1,5,3169516,3146144,0,3402572,3320170,0
7.25704,3903274,5762183,0.5578391266854505,0.8076843689474671,False,1,5,3169516,3146144,0,3402572,3320170,0
8.284142,4333603,6433692,0.4189737093548482,0.65378958098377,False,1,5,3169516,3146144,0,3402572,3320170,0
9.317762,4851505,7172478,0.5010567438017219,0.7147562811618781,False,1,5,3169516,3146144,0,3402572,3320170,0
10.350655,5238765,7818254,0.37492762308484956,0.6252111261820013,True,1,5,3194780,3170235,0,3491892,3403828,0
11.429477,5559808,8382126,0.2975864042724645,0.5226734143087471,False,1,5,3194780,3170235,0,3491892,3403828,0
12.461767,6384911,9428296,0.7992942452299856,1.0134463946104353,False,1,5,3194780,3170235,0,3491892,3403828,0
13.491385,7268778,10541625,0.8584413643506154,1.0813025780248684,False,1,5,3194780,3170235,0,3491892,3403828,0
14.526856,8304730,11799457,1.0004651199403833,1.2147445467983577,False,1,5,3194780,3170235,0,3491892,3403828,0
15.566044,9264510,12978671,0.9235860935481254,1.1347450996241422,False,1,5,3194780,3170235,0,3491892,3403828,0
16.601228,10127619,14066678,0.8337733161672679,1.051027395616545,False,1,5,3194780,3170235,0,3491892,3403828,0
17.642172,11008862,15170432,0.846580454161588,1.0603392737334303,False,1,5,3194780,3170235,0,3491892,3403828,0
18.675807,11160508,15610961,0.14671139664037294,0.4261940628212208,False,1,5,3194780,3170235,0,3491892,3403828,0
18.695489,11160982,15613371,0.024082694570816503,0.12244576775457336,True,1,5,3195960,3172324,0,3493048,3409928,0
