elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
6.1e-05,0,1362,,,True,1,4,3278648,3255499,0,3349180,3304328,0
1.100281,540676,582778,0.4914257157910407,0.5284547011007771,False,1,4,3278648,3255499,0,3349180,3304328,0
2.137971,1846743,1939365,1.258629314016452,1.307314376072312,False,1,4,3278648,3255499,0,3349180,3304328,0
3.175278,2741192,2880009,0.8622796494202626,0.9068132208200506,False,1,4,3278648,3255499,0,3349180,3304328,0
4.218161,3995365,4179215,1.202601302361314,1.245782541671391,False,1,4,3278648,3255499,0,3349180,3304328,0
5.255281,4923153,5160967,0.8945813668057374,0.9466139312259549,False,1,4,3278648,3255499,0,3349180,3304328,0
6.297279,6099788,6383964,1.1292103026639304,1.173703665560755,False,1,4,3278648,3255499,0,3349180,3304328,0
7.33785,7220421,7553334,1.0769406022173704,1.1237773936827904,False,1,4,3278648,3255499,0,3349180,3304328,0
8.372248,7770763,8159475,0.5320411064485352,0.5859845846833815,False,1,4,3278648,3255499,0,3349180,3304328,0
8.394839,7773569,8162662,0.12420798593621345,0.14107300469661876,True,1,4,3405492,3382234,0,3475612,3430689,0
