elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3169116,3145803,0,6320188,2055980,11157424,1047080,0.0,0.0
1.111,3171012,3146726,0,6276244,2055980,11197624,1047080,0.0,0.0
2.143,3177844,3153383,0,6221244,2055980,11260096,1047080,0.0,0.0
3.166,3180556,3156095,0,6213644,2055980,11265588,1047080,0.0,0.0
4.2,3184896,3160422,0,6207540,2055980,11270320,1047080,0.0,0.0
5.233,3187556,3163063,0,6202824,2055980,11273304,1047080,0.0,0.0
6.262,3190600,3166107,0,6212512,2055980,11276444,1047080,0.0,0.0
7.295,3190664,3166171,0,6212912,2055980,11276076,1047080,0.0,0.0
8.329,3190664,3166144,0,6215096,2055980,11276600,1047080,0.0,0.0
9.363,3191196,3166676,0,6214600,2055980,11276888,1047080,0.0,0.0
10.395,3192016,3167496,0,6218880,2055980,11276164,1047080,0.0,0.0
11.453,3194324,3169804,0,6220528,2055980,11279456,1047080,0.0,0.0
12.483,3194468,3169948,0,6221240,2055980,11279780,1047080,0.0,0.0
13.515,3194964,3170444,0,6218188,2055980,11281136,1047080,0.0,0.0
14.547,3195660,3171140,0,6231568,2055980,11282176,1047080,0.0,0.0
15.576,3196572,3172052,0,6214236,2055980,11283180,1047080,0.0,0.0
16.605,3196824,3172304,0,6210520,2055980,11283832,1047080,0.0,0.0
17.637,3196824,3172304,0,6221232,2055980,11284220,1047080,0.0,0.0
18.673,3196920,3172400,0,6224600,2055980,11285172,1047080,0.0,0.0
19.707,3196884,3173237,0,6256120,2055980,11246776,1047080,0.0,0.0
19.74,3196884,3173237,0,6258068,2055980,11246748,1047080,0.0,0.0
