elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
5.5e-05,0,260,,,True,1,5,3169320,3146139,0,3414732,3332833,0
1.064268,297736,503448,0.27977104271868125,0.4728263678007623,False,1,5,3169320,3146139,0,3414732,3332833,0
2.091904,664381,1211073,0.3567848097421337,0.6885948287683654,False,1,5,3169320,3146139,0,3414732,3332833,0
3.119231,1703334,2480738,1.0113168535514048,1.2358919150956245,False,1,5,3169320,3146139,0,3414732,3332833,0
4.152041,2135976,3219660,0.41889793079939763,0.7154480998658301,False,1,5,3169320,3146139,0,3414732,3332833,0
5.187122,2700620,4064978,0.5455071657078091,0.8166686023437666,False,1,5,3169320,3146139,0,3414732,3332833,0
6.22163,3352425,4988060,0.630062468466161,0.892290368310585,False,1,5,3169320,3146139,0,3414732,3332833,0
7.254079,4526834,6403461,1.1374991544659552,1.3709171512907916,False,1,5,3169320,3146139,0,3414732,3332833,0
8.2915,5157290,7318648,0.607714444910745,0.882174742875839,False,1,5,3169320,3146139,0,3414732,3332833,0
9.329835,5523086,7986876,0.3522908631803687,0.6435571163197286,False,1,5,3169320,3146139,0,3414732,3332833,0
9.354475,5523733,7990738,0.026257791767988044,0.15673507234616665,True,1,5,3198464,3175008,0,3522848,3440355,0
