elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
6e-05,0,112,,,True,1,5,3168616,3145433,0,3400844,3319077,0
1.0547,160131,324132,0.15183475664106227,0.3072328146757155,False,1,5,3168616,3145433,0,3400844,3319077,0
2.073689,849848,1340359,0.6768639140408829,0.9972893009365063,False,1,5,3168616,3145433,0,3400844,3319077,0
3.101976,1530764,2260767,0.6621846928494516,0.8950885113232441,False,1,5,3168616,3145433,0,3400844,3319077,0
4.123777,2068559,3060919,0.5263205091996233,0.7830798130832324,False,1,5,3168616,3145433,0,3400844,3319077,0
5.145037,2338273,3616135,0.2640994596717022,0.5436582661674358,False,1,5,3168616,3145433,0,3400844,3319077,0
6.166044,3237816,4719521,0.8810350810745808,1.0806840517535654,False,1,5,3168616,3145433,0,3400844,3319077,0
7.192153,4070209,5773534,0.8112126932968056,1.0271935546068336,False,1,5,3168616,3145433,0,3400844,3319077,0
8.216065,5206536,7131504,1.1097903750917988,1.326257349920762,False,1,5,3168616,3145433,0,3400844,3319077,0
9.241447,5763765,7941961,0.5434350426406738,0.7903944955367229,False,1,5,3168616,3145433,0,3400844,3319077,0
10.264714,6055124,8506080,0.28473426134063773,0.5512924151072018,True,1,5,3193480,3169136,0,3487176,3399908,0
11.315768,6670620,9373554,0.5855985896390778,0.8253368843153641,False,1,5,3193480,3169136,0,3487176,3399908,0
12.342963,6954069,9938903,0.27594484334422087,0.5503816956130094,False,1,5,3193480,3169136,0,3487176,3399908,0
12.367446,6955354,9942981,0.05248448030028817,0.16656164254052544,True,1,5,3193444,3169978,0,3487088,3404722,0
