elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3169076,3145535,0,6255348,2055928,11224244,1047060,0.0,0.0
1.074,3170224,3145791,0,6213788,2055928,11263712,1047060,0.0,0.0
2.099,3172804,3148307,0,6138276,2055928,11319784,1047060,0.0,0.0
3.119,3177792,3153169,0,6143076,2055928,11327580,1047060,0.0,0.0
4.142,3191512,3166849,0,6136016,2055928,11348592,1047060,0.0,0.0
5.165,3192692,3168026,0,6128100,2055928,11349808,1047060,0.0,0.0
6.19,3192696,3168031,0,6131956,2055928,11349292,1047060,0.0,0.0
7.215,3192696,3168030,0,6132268,2055928,11349644,1047060,0.0,0.0
8.242,3192696,3168031,0,6132568,2055928,11350100,1047060,0.0,0.0
9.268,3193240,3168575,0,6124820,2055928,11348312,1047060,0.0,0.0
10.298,3193204,3169402,0,6125536,2055928,11311456,1047060,0.0,0.0
10.365,3193204,3169402,0,6125536,2055928,11311716,1047060,0.0,0.0
