Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.00856948, 0.00444444, 0.00412373, 0.00223747, 6234, 15538, 266910, 124680, 20
0.00839166, 0.00635185, 0.0020357, 0.000305653, 6248, 15579, 37515, 124960, 20
0.00781298, 0.00635602, 0.00145554, 3.709e-05, 6223, 15523, 1845, 124460, 20
0.00527067, 0.00424661, 0.00102287, 2.7248e-05, 6283, 15626, 1722, 125660, 20
0.00526092, 0.0042894, 0.000970935, 0, 6246, 15529, 0, 124920, 20
0.00532366, 0.00437243, 0.000949654, 0, 6264, 15578, 0, 125280, 20
0.0284528, 0.0266824, 0.00176744, 0, 6218, 15517, 0, 124360, 20
0.00567564, 0.00469209, 0.000982037, 0, 6244, 15494, 0, 124880, 20
0.00564498, 0.00466201, 0.000981932, 0, 6282, 15575, 0, 125640, 20
0.0132047, 0.0078234, 0.00537957, 0.00322538, 13437, 18320, 346614, 268740, 20
0.0228756, 0.0145082, 0.00836601, 0.00289689, 24051, 48200, 382530, 769632, 32
0.0172765, 0.0123628, 0.00491234, 0.000665764, 26664, 42867, 91020, 853248, 32
0.00398205, 0.00305369, 0.000927306, 0.000131776, 11337, 9629, 12054, 226740, 20
0.0133893, 0.00937264, 0.00401446, 0.000257658, 17376, 38296, 20418, 347520, 20
0.0140045, 0.0104531, 0.00354981, 0.000268838, 18453, 39870, 18942, 369060, 20
0.0198464, 0.0138946, 0.00595068, 0.00152823, 26748, 49099, 141450, 534960, 20
0.0182476, 0.0112212, 0.0070251, 0.00230246, 28918, 47663, 222015, 578360, 20
0.0173448, 0.0105364, 0.00680726, 0.00257608, 46963, 43710, 312174, 939260, 20
0.0253301, 0.0190042, 0.00632397, 0.00177322, 52050, 41684, 202212, 1.041e+06, 20
0.0126351, 0.00847231, 0.00416155, 0.00133621, 35922, 28835, 149814, 718440, 20
0.0215198, 0.0146765, 0.00684152, 0.0022655, 46748, 43713, 333945, 1.49594e+06, 32
0.0153439, 0.0113614, 0.00398091, 0.000793047, 30279, 36969, 92988, 605580, 20
0.0157468, 0.0117786, 0.00396667, 0.000643282, 30419, 36850, 64575, 608380, 20
0.00763956, 0.0055224, 0.00211531, 0.000414063, 23606, 20942, 45141, 472120, 20
0.0136164, 0.0104165, 0.00319839, 0.000349994, 29543, 36793, 29274, 590860, 20
0.0128656, 0.010182, 0.00268181, 0.000233023, 29554, 36672, 17835, 591080, 20
0.00975746, 0.00701519, 0.0027404, 0.000772262, 29848, 23103, 102336, 596960, 20
0.0137806, 0.0101119, 0.00366698, 0.000771006, 39074, 40089, 108855, 781480, 20
0.0171286, 0.0125626, 0.00456406, 0.000918047, 48148, 42876, 91143, 962960, 20
0.0182116, 0.0125649, 0.00564497, 0.00135938, 66729, 41714, 141696, 1.33458e+06, 20
0.0228784, 0.0162395, 0.00663643, 0.00156858, 50303, 45521, 212052, 1.6097e+06, 32
0.0195726, 0.0154022, 0.00416847, 0.000665118, 44802, 42900, 77244, 896040, 20
0.0119625, 0.00872291, 0.00323784, 0.000455624, 24671, 34104, 41205, 493420, 20
0.0158404, 0.0118563, 0.00398247, 0.000652794, 33159, 38259, 73308, 663180, 20
0.0139416, 0.0101726, 0.00376779, 0.00112886, 35856, 29237, 104919, 717120, 20
0.0227785, 0.0165728, 0.00620403, 0.00164871, 45093, 49426, 164820, 901860, 20
0.0275966, 0.017908, 0.00968721, 0.00314871, 41719, 56589, 301596, 834380, 20
0.0253115, 0.0157742, 0.00953547, 0.00258122, 17113, 59836, 214266, 342260, 20
0.0241715, 0.0148046, 0.00936467, 0.00177403, 7778, 60816, 108978, 155560, 20
0.0223678, 0.0146171, 0.00774873, 0.00111926, 7991, 62709, 73800, 159820, 20
0.0285248, 0.0189082, 0.00961457, 0.00206688, 17910, 62858, 154980, 573120, 32
0.0190547, 0.0136669, 0.00538595, 0.000587097, 7067, 52740, 42312, 141340, 20
0.0164445, 0.0118345, 0.00460819, 0.000349976, 7068, 52729, 22263, 141360, 20
0.0135069, 0.00931846, 0.0041872, 0.000352056, 6930, 51556, 24231, 138600, 20
