elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3168560,3145517,0,6222468,2055892,11252452,1047052,0.0,0.0
1.075,3177448,3153266,0,6190484,2055892,11303076,1047052,0.0,0.0
2.097,3182412,3158176,0,6134916,2055892,11360380,1047052,0.0,0.0
3.115,3183112,3158875,0,6126072,2055892,11364508,1047052,0.0,0.0
4.138,3189124,3164886,0,6114352,2055892,11374780,1047052,0.0,0.0
5.162,3192264,3168015,0,6104856,2055892,11386908,1047052,0.0,0.0
6.187,3192912,3168662,0,6103528,2055892,11391468,1047052,0.0,0.0
7.217,3192876,3168693,0,6103380,2055892,11389680,1047052,0.0,0.0
8.247,3192876,3169601,0,6133912,2055892,11341564,1047052,0.0,0.0
8.276,3192876,3169602,0,6132904,2055892,11341912,1047052,0.0,0.0
