elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3249384,3226447,0,6144000,2055888,11214780,1047052,0.0,0.0
1.077,3285288,3260492,0,6117316,2055888,11275576,1047052,0.0,0.0
2.106,3296328,3271532,0,6088800,2055888,11284508,1047052,0.0,0.0
3.132,3299184,3274388,0,6089264,2055888,11287644,1047052,0.0,0.0
4.159,3302084,3277288,0,6091764,2055888,11291192,1047052,0.0,0.0
5.189,3401100,3376304,0,5982716,2055888,11389320,1047052,0.0,0.0
6.223,3401100,3376304,0,5985416,2055888,11390304,1047052,0.0,0.0
7.255,3401104,3376308,0,5991432,2055888,11389924,1047052,0.0,0.0
8.287,3401068,3377922,0,6016420,2055888,11353020,1047052,0.0,0.0
8.315,3401068,3377922,0,6016420,2055888,11352996,1047052,0.0,0.0
