Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0465213, 0.0136875, 0.0328321, 0.017675, 20897, 48229, 885846, 668704, 32
0.0182931, 0.0126743, 0.00561695, 0.000730944, 20890, 48192, 84132, 668480, 32
0.0180522, 0.0121153, 0.00593558, 0.000867464, 20900, 48173, 100614, 668800, 32
0.0171472, 0.0131405, 0.00400519, 6.8739e-05, 20883, 48204, 3690, 668256, 32
0.016693, 0.0128393, 0.00385287, 9.0273e-05, 20964, 48307, 4674, 670848, 32
0.0168435, 0.0129476, 0.00389437, 0.000243115, 20959, 48338, 15498, 670688, 32
0.0382002, 0.0335788, 0.00461933, 0, 20923, 48297, 0, 669536, 32
0.0198752, 0.0156945, 0.00417878, 0.000166451, 20829, 48115, 9963, 666528, 32
0.0162073, 0.0132461, 0.00296004, 0, 20951, 48243, 0, 670432, 32
0.0153843, 0.0122626, 0.00312024, 0, 20953, 48240, 0, 670496, 32
0.0147293, 0.0118959, 0.00283224, 8.62e-06, 20930, 48297, 246, 669760, 32
0.0156282, 0.0126428, 0.00298345, 0, 20953, 48240, 0, 670496, 32
0.0159073, 0.0130486, 0.00285773, 0, 20883, 48204, 0, 668256, 32
0.0191244, 0.014569, 0.00455407, 0.000645031, 26893, 51386, 57195, 860576, 32
0.0203618, 0.0159248, 0.00443603, 0.000516503, 29864, 51672, 43665, 955648, 32
0.0220152, 0.0164122, 0.00560167, 0.000714089, 28607, 52018, 48585, 915424, 32
0.0207665, 0.0155217, 0.0052439, 0.000917952, 28935, 52607, 69618, 925920, 32
0.0219869, 0.015201, 0.00678505, 0.00161479, 25933, 51294, 131118, 829856, 32
0.0219308, 0.0145929, 0.00733687, 0.00243544, 39928, 51427, 261744, 1.2777e+06, 32
0.020351, 0.0140485, 0.00630111, 0.0020627, 58380, 49576, 252519, 1.86816e+06, 32
0.0185245, 0.0129509, 0.00557223, 0.00164003, 66747, 45937, 193233, 2.1359e+06, 32
0.018666, 0.0130886, 0.00557544, 0.00156065, 62105, 41373, 176997, 1.98736e+06, 32
0.0168824, 0.0122108, 0.00467036, 0.00129302, 45418, 39586, 138129, 1.45338e+06, 32
0.0187906, 0.0138424, 0.00494685, 0.00125779, 60857, 42275, 143664, 1.94742e+06, 32
0.0181942, 0.0134219, 0.00477073, 0.00161774, 75481, 43526, 184992, 2.41539e+06, 32
0.0179568, 0.0134331, 0.00452227, 0.00107681, 60852, 43242, 146124, 1.94726e+06, 32
0.0164419, 0.0133105, 0.00312938, 0.000151667, 60870, 43298, 11685, 1.94784e+06, 32
0.0155223, 0.0118589, 0.00366193, 0.000720944, 60506, 42906, 108117, 1.93619e+06, 32
0.0159997, 0.0131703, 0.00282738, 0.000194163, 60564, 42932, 19926, 1.93805e+06, 32
0.0139753, 0.0106671, 0.0033067, 0.000449532, 52046, 40340, 42681, 1.66547e+06, 32
0.0167643, 0.0130847, 0.00367822, 0.000405762, 62090, 43325, 42189, 1.98688e+06, 32
0.0166605, 0.0131184, 0.00354095, 0.000401468, 61192, 43440, 44526, 1.95814e+06, 32
0.0182063, 0.0139382, 0.00426702, 0.000891888, 56557, 44606, 107994, 1.80982e+06, 32
0.0173474, 0.0129908, 0.00435541, 0.000934676, 53867, 44600, 117465, 1.72374e+06, 32
0.0167107, 0.0124738, 0.00423576, 0.00076047, 49100, 43670, 78720, 1.5712e+06, 32
0.0172383, 0.0130306, 0.00420689, 0.00073148, 47519, 43512, 75891, 1.52061e+06, 32
0.0173, 0.0126478, 0.00465054, 0.000854505, 51944, 44231, 93849, 1.66221e+06, 32
0.0178009, 0.0133334, 0.0044661, 0.000914307, 66267, 44226, 100491, 2.12054e+06, 32
0.0174912, 0.012948, 0.00454214, 0.000906394, 54269, 44539, 103935, 1.73661e+06, 32
0.0183121, 0.0137254, 0.00458541, 0.000825062, 58396, 44469, 93111, 1.86867e+06, 32
0.0193012, 0.0141587, 0.00514073, 0.000985495, 63331, 43896, 109716, 2.02659e+06, 32
0.0175459, 0.0143503, 0.00319423, 5.1478e-05, 63328, 43850, 2214, 2.0265e+06, 32
0.018703, 0.0141795, 0.00452222, 0.000490638, 63084, 43684, 50184, 2.01869e+06, 32
0.0178812, 0.0148538, 0.00302571, 2.2134e-05, 63335, 43878, 861, 2.02672e+06, 32
0.0187985, 0.015, 0.00379673, 0.000185236, 63115, 43853, 12669, 2.01968e+06, 32
0.0179818, 0.0141102, 0.00387038, 0.000355232, 47549, 43736, 30627, 1.52157e+06, 32
0.019627, 0.0159904, 0.00363512, 0.000325, 53662, 45851, 30504, 1.71718e+06, 32
0.0191277, 0.0151161, 0.00401015, 0.000299913, 51559, 45828, 27060, 1.64989e+06, 32
0.0178041, 0.0141326, 0.00366983, 0.000410939, 46714, 43935, 45141, 1.49485e+06, 32
0.0200787, 0.0147678, 0.00530951, 0.00132256, 52471, 45833, 132102, 1.67907e+06, 32
0.0213744, 0.0153468, 0.00602626, 0.00161309, 57690, 49628, 155964, 1.84608e+06, 32
0.0284114, 0.0198387, 0.00857069, 0.00282394, 61687, 58940, 274290, 1.97398e+06, 32
0.0336171, 0.0245565, 0.00905884, 0.00271265, 42175, 64177, 289665, 1.3496e+06, 32
0.0338979, 0.0248203, 0.00907637, 0.00150069, 33094, 67480, 141327, 1.05901e+06, 32
0.0355735, 0.0264353, 0.00913664, 0.00128114, 30547, 70991, 106149, 977504, 32
0.0322137, 0.0228128, 0.00939933, 0.00188109, 19972, 66382, 136038, 639104, 32
0.0286839, 0.0221267, 0.00655562, 0.000731522, 19966, 66012, 61500, 638912, 32
0.029659, 0.023166, 0.00649072, 0.000609223, 19959, 65781, 45141, 638688, 32
0.0255934, 0.0196473, 0.00594488, 1.9914e-05, 19939, 65885, 738, 638048, 32
