Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0102733, 0.00629633, 0.00397575, 0.00222522, 6248, 15577, 265311, 124960, 20
0.00628211, 0.0044995, 0.0017813, 0.00024782, 6218, 15517, 31365, 124360, 20
0.00568831, 0.00416623, 0.00152103, 7.4831e-05, 6246, 15529, 3198, 124920, 20
0.00839754, 0.00682602, 0.00157053, 9.7655e-05, 6268, 15571, 6273, 125360, 20
0.00567004, 0.00452565, 0.00114324, 1.7851e-05, 6264, 15578, 615, 125280, 20
0.0249501, 0.0190934, 0.0058554, 0, 6218, 15517, 0, 124360, 20
0.00681196, 0.00577619, 0.00103397, 0, 6262, 15579, 0, 125240, 20
0.00648462, 0.00533293, 0.00115063, 3.0705e-05, 6244, 15494, 1230, 124880, 20
0.00802211, 0.00634805, 0.00167259, 0.000490194, 7061, 18712, 50184, 141220, 20
0.00626743, 0.00467553, 0.00159083, 0.000292852, 7007, 18891, 37515, 140140, 20
0.00700565, 0.00531832, 0.00168633, 0.000316166, 6845, 19456, 38499, 136900, 20
0.00647265, 0.00477273, 0.00169883, 0.000326951, 8374, 17387, 34809, 167480, 20
0.00462732, 0.00310364, 0.00152239, 0.000523227, 12441, 11792, 73185, 248820, 20
0.00351807, 0.00198408, 0.00153328, 0.00083577, 33659, 6242, 121278, 673180, 20
0.0044195, 0.00390551, 0.000512701, 0.000163342, 38427, 5115, 11685, 768540, 20
0.00588629, 0.00544183, 0.00044339, 0.000116401, 38177, 5280, 8979, 763540, 20
0.00339227, 0.00304432, 0.000346555, 4.0309e-05, 38158, 5314, 2583, 763160, 20
0.00418221, 0.00381326, 0.000367398, 0, 38157, 5318, 0, 763140, 20
0.00206854, 0.00177342, 0.000294258, 2.6515e-05, 38192, 5293, 1476, 763840, 20
0.00514943, 0.00470465, 0.000443115, 6.1994e-05, 39189, 5655, 3321, 783780, 20
0.00448, 0.00396788, 0.000510098, 7.3802e-05, 39652, 5785, 3567, 793040, 20
