elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
4.6e-05,0,127,,,True,1,5,3168020,3144617,0,3414036,3331532,0
1.059352,373066,568408,0.3521796549070533,0.5364654148870043,False,1,5,3168020,3144617,0,3414036,3331532,0
2.079023,1496509,1965951,1.1017694972542242,1.3705815501998413,False,1,5,3168020,3144617,0,3414036,3331532,0
3.102947,1796918,2610258,0.29338998350125395,0.6292528522772035,False,1,5,3168020,3144617,0,3414036,3331532,0
4.128062,2794967,3824452,0.9735974571481585,1.1844470470733912,False,1,5,3168020,3144617,0,3414036,3331532,0
5.15345,3565766,4851932,0.7517143762159773,1.002040074357118,False,1,5,3168020,3144617,0,3414036,3331532,0
6.185002,4620979,6167902,1.022936764194321,1.2757178821496709,False,1,5,3168020,3144617,0,3414036,3331532,0
7.206317,5160989,7013857,0.5287403271587264,0.8283004452909399,False,1,5,3168020,3144617,0,3414036,3331532,0
8.236255,5327686,7533141,0.1618514622789866,0.5041894859420462,False,1,5,3168020,3144617,0,3414036,3331532,0
8.260413,5328273,7536904,0.024298424322910215,0.1557665600121144,True,1,5,3195796,3172164,0,3520340,3437334,0
