elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3264300,3241352,0,7696984,1933000,9822860,1020624,0.0,0.0
1.098,3285588,3260813,0,7627232,1932744,9886088,1020592,0.0,0.0
2.145,3290100,3265276,0,7628280,1932744,9894364,1020592,0.0,0.0
3.186,3297696,3272872,0,7622512,1932744,9902124,1020592,0.0,0.0
4.22,3297904,3273081,0,7622556,1932744,9902264,1020592,0.0,0.0
5.262,3402188,3377365,0,7493936,1932744,10007556,1020592,0.0,0.0
6.305,3402852,3377906,0,7493524,1932744,10009040,1020592,0.0,0.0
7.345,3404468,3379645,0,7494160,1932744,10010300,1020592,0.0,0.0
8.387,3404488,3379665,0,7494352,1932744,10009740,1020592,0.0,0.0
9.425,3404436,3381311,0,7525864,1932744,9972172,1020592,0.0,0.0
9.462,3404436,3381311,0,7525864,1932744,9972116,1020592,0.0,0.0
