Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0756455, 0.0604081, 0.0152354, 0.00873258, 21603, 45754, 956817, 691296, 32
0.0197853, 0.013947, 0.00583663, 0.000842836, 21569, 45626, 104796, 690208, 32
0.0201135, 0.01381, 0.00630176, 0.00100737, 21591, 45557, 110946, 690912, 32
0.0174146, 0.0134409, 0.00397206, 6.8681e-05, 21491, 45509, 3321, 687712, 32
0.0175442, 0.0137854, 0.00375718, 0.000162808, 21531, 45442, 9594, 688992, 32
0.0161132, 0.0124931, 0.00361882, 0.000260406, 21659, 45686, 18696, 693088, 32
0.032573, 0.0278969, 0.00467419, 0, 21643, 45673, 0, 692576, 32
0.0191247, 0.015334, 0.00378961, 0.000141294, 21564, 45594, 7257, 690048, 32
0.0176244, 0.0147445, 0.00287768, 0, 21668, 45630, 0, 693376, 32
0.0197025, 0.0165974, 0.00310393, 0, 21676, 45637, 0, 693632, 32
0.019166, 0.0163869, 0.00277799, 4.848e-06, 21652, 45657, 123, 692864, 32
0.0152628, 0.0124818, 0.00277977, 3.937e-06, 21532, 45477, 123, 689024, 32
0.0159702, 0.0132641, 0.00270424, 0, 21531, 45442, 0, 688992, 32
0.0182235, 0.0141825, 0.00403938, 0.000588635, 23907, 46766, 59409, 765024, 32
0.018892, 0.0144427, 0.00444737, 0.000620931, 27814, 47409, 62730, 890048, 32
0.0200235, 0.0154667, 0.00455553, 0.000687746, 29867, 48271, 61869, 955744, 32
0.0216419, 0.0158872, 0.00575346, 0.0011354, 28317, 50524, 116235, 906144, 32
0.0250572, 0.0174404, 0.00761549, 0.00171772, 27446, 54598, 145632, 878272, 32
0.0247888, 0.0169921, 0.00779526, 0.00280392, 36147, 54541, 228411, 1.1567e+06, 32
0.0264281, 0.0197849, 0.00664167, 0.00211365, 52267, 54620, 214758, 1.67254e+06, 32
0.0198757, 0.0134457, 0.00642908, 0.00187708, 46049, 47666, 233700, 1.47357e+06, 32
0.0203495, 0.0143095, 0.00603806, 0.0017398, 37959, 45647, 213036, 1.21469e+06, 32
0.0189715, 0.0138021, 0.00516739, 0.00128521, 39007, 43115, 140343, 1.24822e+06, 32
0.0184529, 0.0137297, 0.00472094, 0.00107601, 40828, 41931, 120540, 1.3065e+06, 32
0.0153782, 0.0117284, 0.00364812, 0.000540625, 37845, 40487, 53136, 1.21104e+06, 32
0.0148392, 0.0114105, 0.0034275, 0.000395912, 37774, 40214, 34686, 1.20877e+06, 32
0.0165041, 0.0122234, 0.00427942, 0.00104425, 40305, 39355, 148707, 1.28976e+06, 32
0.0195213, 0.0162474, 0.00327234, 0.000420804, 40249, 39439, 31365, 1.28797e+06, 32
0.0188464, 0.0154308, 0.00341432, 0.000385746, 40294, 39469, 31119, 1.28941e+06, 32
0.0182841, 0.0153324, 0.00295046, 0.000377136, 39302, 38765, 38007, 1.25766e+06, 32
0.0173734, 0.0137696, 0.00360259, 0.000646636, 43429, 40932, 72693, 1.38973e+06, 32
0.0183775, 0.0141029, 0.00427342, 0.000804039, 45543, 41351, 83886, 1.45738e+06, 32
0.0186147, 0.0146868, 0.00392582, 0.000577364, 45501, 41446, 54735, 1.45603e+06, 32
0.0199669, 0.0152908, 0.00467485, 0.000955413, 46058, 42183, 105288, 1.47386e+06, 32
0.0187114, 0.0139611, 0.00474895, 0.000962875, 47893, 41362, 123369, 1.53258e+06, 32
0.0173709, 0.0130603, 0.00430863, 0.00071731, 50732, 40030, 73062, 1.62342e+06, 32
0.0177799, 0.0134005, 0.00437804, 0.000757492, 49981, 40836, 76998, 1.59939e+06, 32
0.0182653, 0.0138726, 0.00439118, 0.000712123, 43996, 42442, 69003, 1.40787e+06, 32
0.0184186, 0.0139209, 0.00449636, 0.000743246, 42173, 42733, 72570, 1.34954e+06, 32
0.0204853, 0.0147187, 0.00576404, 0.000816433, 42039, 43561, 82779, 1.34525e+06, 32
0.0204942, 0.0153757, 0.00511662, 0.000957948, 43827, 44688, 106764, 1.40246e+06, 32
0.0164536, 0.0120096, 0.00444232, 0.000778676, 42838, 42922, 120786, 1.37082e+06, 32
0.0171333, 0.0136894, 0.00344206, 0.000326791, 42899, 43041, 36039, 1.37277e+06, 32
0.0158648, 0.0130352, 0.00282793, 0, 42799, 42902, 0, 1.36957e+06, 32
0.0215307, 0.0180321, 0.00349684, 0.000264839, 42854, 42850, 25830, 1.37133e+06, 32
0.0163362, 0.0135033, 0.00283016, 4.662e-06, 42860, 43028, 123, 1.37152e+06, 32
0.0147723, 0.0122386, 0.00253201, 2.2795e-05, 42849, 42887, 861, 1.37117e+06, 32
0.0199101, 0.0153292, 0.00457965, 0.00088623, 56178, 43537, 127182, 1.7977e+06, 32
0.0204419, 0.0153193, 0.00512144, 0.000743295, 50403, 45947, 95817, 1.6129e+06, 32
0.0187391, 0.0149376, 0.00380018, 0.000501179, 46733, 44209, 59532, 1.49546e+06, 32
0.0190826, 0.0143173, 0.00476338, 0.00112532, 63462, 44103, 125214, 2.03078e+06, 32
0.0182642, 0.0132447, 0.0050183, 0.00125017, 68941, 46847, 106272, 2.20611e+06, 32
0.0182281, 0.0131459, 0.00508029, 0.0012431, 67318, 47230, 129765, 2.15418e+06, 32
0.019759, 0.0136633, 0.00609391, 0.00145911, 46228, 50278, 163959, 1.4793e+06, 32
0.0221146, 0.0150417, 0.00707117, 0.00142479, 34313, 53180, 161868, 1.09802e+06, 32
0.023056, 0.0155673, 0.00748772, 0.00178741, 30573, 58084, 221400, 978336, 32
0.0367971, 0.0236353, 0.0131596, 0.00412367, 21156, 78138, 556206, 676992, 32
0.0327098, 0.0237383, 0.00896884, 0.00147566, 21125, 77436, 197784, 676000, 32
0.0273795, 0.021367, 0.00601044, 0, 21144, 77636, 0, 676608, 32
0.0271812, 0.0190142, 0.00816548, 0.000893622, 18836, 74408, 88683, 602752, 32
0.0259132, 0.0191144, 0.00679733, 0.000773929, 20402, 77711, 80442, 652864, 32
0.0241576, 0.0173446, 0.00681194, 0.000617729, 19976, 77141, 58179, 639232, 32
0.032542, 0.0251574, 0.00738275, 0.000633832, 21094, 79267, 49077, 675008, 32
0.0257352, 0.0182398, 0.0074943, 0.000516484, 23038, 80248, 42312, 737216, 32
