Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0761819, 0.0614989, 0.0146812, 0.00868129, 18983, 50777, 947592, 607456, 32
0.020696, 0.0141078, 0.0065863, 0.00109074, 18953, 50700, 134316, 606496, 32
0.0234713, 0.0152131, 0.00825638, 0.00134465, 18892, 50487, 148707, 604544, 32
0.0190309, 0.0143982, 0.0046298, 4.9785e-05, 18914, 50639, 1968, 605248, 32
0.0199779, 0.0153125, 0.00466274, 0.000223247, 18969, 50615, 14637, 607008, 32
0.0187118, 0.0144272, 0.00428274, 0.00037146, 18907, 50423, 30135, 605024, 32
0.0689775, 0.0632726, 0.00570285, 0, 18909, 50428, 0, 605088, 32
0.024789, 0.0202868, 0.00450068, 0.00022689, 18916, 50544, 12054, 605312, 32
0.0175503, 0.0145988, 0.00295038, 0, 18943, 50510, 0, 606176, 32
0.0189796, 0.0159341, 0.00304416, 0, 18967, 50500, 0, 606944, 32
0.0191742, 0.0162898, 0.0028831, 0, 18907, 50440, 0, 605024, 32
0.0163999, 0.0134078, 0.0029899, 0, 18971, 50637, 0, 607072, 32
0.0168187, 0.0135254, 0.00329165, 7.957e-06, 18969, 50615, 246, 607008, 32
0.021717, 0.0165994, 0.00511622, 0.00142381, 35162, 54642, 188682, 1.12518e+06, 32
0.0221479, 0.017075, 0.00507139, 0.000915829, 34798, 53478, 97416, 1.11354e+06, 32
0.0221211, 0.0166659, 0.00545392, 0.00106328, 26180, 52876, 111192, 837760, 32
0.0224166, 0.0166254, 0.00578948, 0.00133425, 22990, 52824, 140343, 735680, 32
0.023979, 0.017094, 0.0068832, 0.00196382, 23092, 56125, 164820, 738944, 32
0.0241479, 0.01633, 0.0078162, 0.00252472, 28080, 56946, 239727, 898560, 32
0.0227205, 0.0157724, 0.00694716, 0.00188314, 40919, 54962, 183024, 1.30941e+06, 32
0.0220727, 0.0156102, 0.00646158, 0.00178, 58329, 54934, 184500, 1.86653e+06, 32
0.0217056, 0.0155677, 0.00613664, 0.00159446, 57636, 53600, 183639, 1.84435e+06, 32
0.0200364, 0.0144812, 0.00555413, 0.00132639, 53526, 48828, 153873, 1.71283e+06, 32
0.0256591, 0.0204038, 0.00525414, 0.00133313, 53700, 39958, 146493, 1.7184e+06, 32
0.0187147, 0.0134986, 0.00521474, 0.00139344, 51280, 42040, 163590, 1.64096e+06, 32
0.0173223, 0.0127761, 0.00454447, 0.00096703, 69601, 41043, 103320, 2.22723e+06, 32
0.0221294, 0.0145092, 0.00761858, 0.00284226, 50125, 47880, 425088, 1.604e+06, 32
0.019897, 0.0155832, 0.00431225, 0.000749035, 50096, 47811, 93603, 1.60307e+06, 32
0.0202374, 0.0157789, 0.00445709, 0.000745599, 50106, 47838, 94095, 1.60339e+06, 32
0.0269792, 0.0227439, 0.00423396, 0.000704949, 43747, 44927, 89052, 1.3999e+06, 32
0.0201619, 0.0153939, 0.004766, 0.000926997, 52665, 48303, 134439, 1.68528e+06, 32
0.0269279, 0.0215007, 0.00542578, 0.000958303, 55193, 48970, 117588, 1.76618e+06, 32
0.0216358, 0.0164531, 0.00518127, 0.00082846, 49228, 48643, 90651, 1.5753e+06, 32
0.0224921, 0.0175157, 0.0049748, 0.000935266, 51218, 48060, 84993, 1.63898e+06, 32
0.0198588, 0.0147251, 0.00513251, 0.00110402, 55627, 46386, 127920, 1.78006e+06, 32
0.0183622, 0.0137266, 0.0046344, 0.000876604, 53013, 46366, 97416, 1.69642e+06, 32
0.0188186, 0.0142463, 0.00457128, 0.000585102, 42885, 46067, 57318, 1.37232e+06, 32
0.0185039, 0.0135607, 0.00494188, 0.000713864, 61963, 45839, 79089, 1.98282e+06, 32
0.018146, 0.0133707, 0.00477384, 0.000698055, 67447, 45548, 74292, 2.1583e+06, 32
0.0213567, 0.0153956, 0.00595922, 0.000566354, 48739, 45729, 53382, 1.55965e+06, 32
0.0302344, 0.0247419, 0.00549124, 0.00091396, 46932, 44977, 71832, 1.50182e+06, 32
0.0257686, 0.0187815, 0.00698487, 0.00244021, 56103, 56692, 292002, 1.7953e+06, 32
0.0235525, 0.0178034, 0.00574759, 0.00100841, 56179, 56262, 138990, 1.79773e+06, 32
0.0208919, 0.0175385, 0.00335212, 0, 56066, 56644, 0, 1.79411e+06, 32
0.0197214, 0.0140896, 0.0056305, 0.000958043, 34642, 53403, 135423, 1.10854e+06, 32
0.0233056, 0.0176752, 0.00562934, 0.000673573, 37705, 56820, 79212, 1.20656e+06, 32
0.0240445, 0.0180015, 0.00604145, 0.000575052, 39891, 58503, 55842, 1.27651e+06, 32
0.0237883, 0.0174, 0.00638665, 0.00102072, 32673, 60874, 102336, 1.04554e+06, 32
0.0260582, 0.0182009, 0.00785507, 0.00140935, 28636, 65133, 142434, 916352, 32
0.0274158, 0.0184679, 0.00894645, 0.0019413, 24915, 71439, 194709, 797280, 32
0.0328592, 0.0192951, 0.0135631, 0.00360914, 22624, 81147, 239112, 723968, 32
0.0298454, 0.0205535, 0.00929001, 0.00169763, 18234, 83154, 212667, 583488, 32
0.0306692, 0.0171678, 0.0134999, 0.00283301, 18747, 88044, 191880, 599904, 32
0.0296389, 0.0211289, 0.00850821, 0.00148163, 19796, 85291, 173184, 633472, 32
0.0263667, 0.0189181, 0.00744752, 0.00104795, 20315, 72284, 121893, 650080, 32
0.0302216, 0.0239634, 0.00625642, 0.000717211, 20199, 71060, 89667, 646368, 32
