elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
6.4e-05,74,1158,,,True,1,4,3274576,3251504,0,3345284,3300475,0
1.09398,451195,491949,0.4123907759418271,0.44865497574988805,False,1,4,3274576,3251504,0,3345284,3300475,0
2.128601,1209441,1290770,0.7328737693788996,0.7720910592723497,False,1,4,3274576,3251504,0,3345284,3300475,0
3.162157,2593450,2725056,1.339074737586863,1.3877194072253225,False,1,4,3274576,3251504,0,3345284,3300475,0
4.193413,3384979,3563915,0.767538973024981,0.8134344734971966,False,1,4,3274576,3251504,0,3345284,3300475,0
5.237506,4863107,5099213,1.4157047025591512,1.4704603379610288,False,1,4,3274576,3251504,0,3345284,3300475,0
6.279355,5743365,6027304,0.84490004177824,0.8908116991541214,False,1,4,3274576,3251504,0,3345284,3300475,0
7.312712,6926980,7259541,1.1454072427973037,1.1924596973195007,False,1,4,3274576,3251504,0,3345284,3300475,0
8.355031,7393467,7772742,0.44754742878578757,0.49236482045650787,False,1,4,3274576,3251504,0,3345284,3300475,0
8.379842,7410246,7790509,0.6762588298068674,0.7160790648536035,True,1,4,3391788,3368680,0,3462008,3417128,0
