elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
6.3e-05,36,399,,,True,1,5,3168640,3145212,0,3412200,3329779,0
1.090699,295205,529759,0.27063930781890555,0.4853681246574533,False,1,5,3168640,3145212,0,3412200,3329779,0
2.1222,1511603,2075714,1.1792505384874281,1.4987432289656277,False,1,5,3168640,3145212,0,3412200,3329779,0
3.158925,2104450,2974540,0.5718457652481926,0.8669856502520414,False,1,5,3168640,3145212,0,3412200,3329779,0
4.197688,2953239,4090204,0.8171153025556169,1.0740315047796447,False,1,5,3168640,3145212,0,3412200,3329779,0
5.225044,3701826,5088063,0.7286538959015505,0.9712883711718548,False,1,5,3168640,3145212,0,3412200,3329779,0
6.26249,4798607,6438604,1.0571934228672832,1.3017941252744198,False,1,5,3168640,3145212,0,3412200,3329779,0
7.300448,5260449,7196548,0.4449526827373302,0.730226389467963,False,1,5,3168640,3145212,0,3412200,3329779,0
8.33588,5454215,7672175,0.1871352673219409,0.45935089639324134,False,1,5,3168640,3145212,0,3412200,3329779,0
8.357996,5455017,7678784,0.036264322594134736,0.29884153120278867,True,1,5,3191852,3168139,0,3517616,3434715,0
