elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3168640,3145212,0,7665092,2021264,11906988,1067444,0.04,0.04
1.101,3176524,3151954,0,7574332,2021264,11957580,1067444,0.03,0.03
2.142,3184560,3159998,0,7524136,2021264,12026680,1067444,0.03,0.03
3.173,3185840,3161254,0,7509928,2021264,12035544,1067444,0.02,0.02
4.209,3189820,3165234,0,7501784,2021264,12044868,1067444,0.02,0.02
5.249,3191396,3166803,0,7496676,2021264,12049024,1067444,0.02,0.02
6.274,3191884,3167292,0,7498968,2021264,12050304,1067444,0.02,0.02
7.312,3191888,3167296,0,7501664,2021264,12050236,1067444,0.01,0.01
8.35,3191852,3168139,0,7503116,2021264,12012804,1067444,0.01,0.01
8.385,3191852,3168139,0,7503116,2021264,12012956,1067444,0.01,0.01
