Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0120598, 0.00818312, 0.00387551, 0.00229845, 5761, 16242, 286959, 115220, 20
0.0120788, 0.00987706, 0.00220004, 0.00052669, 5726, 16146, 68757, 114520, 20
0.00884564, 0.0069105, 0.00193403, 0.0002287, 5800, 16279, 16236, 116000, 20
0.00625965, 0.00443766, 0.00182088, 8.4925e-05, 5773, 16229, 4920, 115460, 20
0.0196676, 0.0179834, 0.0016823, 7.5796e-05, 5784, 16235, 3690, 115680, 20
0.00659302, 0.0054238, 0.00116794, 4.477e-06, 5773, 16249, 123, 115460, 20
0.00761957, 0.0066653, 0.000952782, 0, 5779, 16236, 0, 115580, 20
0.00542701, 0.00445719, 0.000968828, 0, 5742, 16139, 0, 114840, 20
0.00481441, 0.00359351, 0.00121965, 0.000235663, 5764, 14735, 19803, 115280, 20
0.00490796, 0.00384033, 0.00106688, 0.000172025, 5979, 15133, 19188, 119580, 20
0.00627211, 0.00467164, 0.00159946, 0.000329621, 7279, 17185, 36654, 145580, 20
0.00567672, 0.003972, 0.00170331, 0.00061284, 13231, 14125, 73431, 264620, 20
0.00695689, 0.00587937, 0.00107574, 0.000195738, 13564, 13139, 15744, 271280, 20
0.00813971, 0.00710531, 0.00103232, 0.000115034, 13544, 13208, 9717, 270880, 20
0.00577384, 0.00488371, 0.000888648, 5.0973e-05, 13615, 13167, 3444, 272300, 20
0.00618918, 0.00550527, 0.000682372, 0, 13564, 13139, 0, 271280, 20
0.00425337, 0.00333917, 0.000913111, 0.000121938, 12337, 12509, 13161, 246740, 20
0.0041736, 0.00322001, 0.000952552, 9.4294e-05, 12274, 12458, 7134, 245480, 20
0.00473711, 0.00386964, 0.000866088, 0.00025616, 12531, 10368, 33087, 250620, 20
0.00445764, 0.00341936, 0.00103735, 0.000253758, 13842, 14211, 41697, 276840, 20
0.00880279, 0.00437345, 0.00442771, 0.00275501, 66149, 12411, 277119, 1.32298e+06, 20
0.00690386, 0.00466071, 0.00224211, 0.000842205, 64689, 14086, 79950, 1.29378e+06, 20
0.00530511, 0.00345461, 0.00184914, 0.000524708, 65172, 14051, 52644, 1.30344e+06, 20
0.00859934, 0.00750042, 0.00109688, 0, 64587, 14022, 0, 1.29174e+06, 20
0.00805165, 0.00628322, 0.00176705, 0.000485751, 64978, 14026, 46494, 1.29956e+06, 20
0.00519516, 0.00337421, 0.00181974, 0.000529982, 56761, 13239, 53874, 1.13522e+06, 20
0.0113634, 0.0106897, 0.000672577, 0.000198101, 65016, 8191, 25461, 1.30032e+06, 20
0.00274215, 0.00228917, 0.000451953, 0.000100189, 60197, 6327, 13161, 1.20394e+06, 20
0.00277003, 0.00226439, 0.000503974, 0.000126702, 48335, 6320, 19557, 966700, 20
0.00579381, 0.00350193, 0.00229068, 0.00121516, 29041, 10268, 167280, 580820, 20
0.0091143, 0.0056846, 0.00342827, 0.00147356, 25729, 20369, 149445, 514580, 20
0.00747566, 0.00483321, 0.00264128, 0.000818598, 19258, 18510, 92004, 385160, 20
0.00676815, 0.00442258, 0.00234446, 0.000666815, 17279, 17257, 73677, 345580, 20
0.00928402, 0.00621265, 0.00306953, 0.00111719, 17132, 16613, 75030, 342640, 20
0.00733892, 0.00524358, 0.00209397, 0.000557098, 18149, 16227, 70233, 362980, 20
0.00490263, 0.0033197, 0.00158205, 0.000457788, 22138, 12989, 56334, 442760, 20
0.00893962, 0.00676522, 0.00217279, 0.000795691, 31808, 11027, 79581, 636160, 20
0.00697478, 0.00582842, 0.0011446, 0.000209853, 30338, 8468, 12792, 606760, 20
0.00463714, 0.00419328, 0.000442106, 4.3814e-05, 30702, 6523, 3813, 614040, 20
0.00481945, 0.0043444, 0.000473294, 5.3644e-05, 30509, 6958, 2583, 610180, 20
0.00635831, 0.00534858, 0.00100812, 0.000195499, 30533, 10503, 18327, 610660, 20
0.00634107, 0.00534062, 0.000998602, 0.000154394, 30491, 10508, 13530, 609820, 20
0.00315146, 0.00260601, 0.000544604, 1.9493e-05, 30476, 10535, 1599, 609520, 20
0.00507796, 0.00418665, 0.000890027, 4.0566e-05, 30494, 10509, 1599, 609880, 20
0.00526921, 0.00463669, 0.000630298, 3.5376e-05, 31343, 6706, 984, 626860, 20
0.00213732, 0.00185842, 0.000277399, 1.1136e-05, 29674, 5789, 492, 593480, 20
0.00251405, 0.00214794, 0.000365142, 4.1403e-05, 27955, 6671, 5658, 559100, 20
