elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
3.5e-05,0,77,,,True,1,5,3169576,3146418,0,3411888,3329824,0
1.089814,263150,463836,0.24147098622900195,0.42555327038789936,False,1,5,3169576,3146418,0,3411888,3329824,0
2.125267,1415807,1938275,1.1131919476413723,1.423956668886232,False,1,5,3169576,3146418,0,3411888,3329824,0
3.170068,1735962,2581985,0.3064267641122917,0.6161077363362224,False,1,5,3169576,3146418,0,3411888,3329824,0
4.207041,2465585,3585164,0.7036078857534935,0.967410094284725,False,1,5,3169576,3146418,0,3411888,3329824,0
5.245247,3133227,4533371,0.6430730104686143,0.9133133176723655,False,1,5,3169576,3146418,0,3411888,3329824,0
6.286016,4315929,5948423,1.1363729465456875,1.35962128309191,False,1,5,3169576,3146418,0,3411888,3329824,0
7.317187,4812378,6711880,0.4814419862869815,0.7403786784235643,False,1,5,3169576,3146418,0,3411888,3329824,0
8.360674,5030554,7253285,0.20908354338769936,0.5188420165729383,False,1,5,3169576,3146418,0,3411888,3329824,0
8.402441,5032147,7260543,0.038140754791240475,0.17377627010346725,True,1,5,3196172,3172753,0,3520324,3437610,0
