elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3169576,3146418,0,7697852,2021264,11911380,1067444,0.0,0.0
1.09,3177620,3153390,0,7645768,2021264,11961504,1067444,0.0,0.0
2.131,3187704,3163493,0,7570040,2021264,12035404,1067444,0.0,0.0
3.168,3190392,3166149,0,7560916,2021264,12045932,1067444,0.0,0.0
4.21,3190792,3166549,0,7562176,2021264,12047960,1067444,0.0,0.0
5.248,3195976,3171717,0,7555284,2021264,12057640,1067444,0.0,0.0
6.287,3196204,3171942,0,7557716,2021264,12057576,1067444,0.0,0.0
7.328,3196208,3171945,0,7557132,2021264,12056840,1067444,0.0,0.0
8.358,3196172,3172753,0,7593400,2021264,12019500,1067444,0.0,0.0
8.402,3196172,3172753,0,7592896,2021264,12019484,1067444,0.0,0.0
