Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0096551, 0.00490878, 0.00474491, 0.00273262, 5091, 18361, 271830, 101820, 20
0.00646232, 0.00460318, 0.00185826, 0.000238656, 5115, 18366, 31980, 102300, 20
0.0123785, 0.00986592, 0.00251035, 0.000478983, 5070, 18337, 58302, 101400, 20
0.0102021, 0.00811131, 0.00208919, 0.000240129, 5094, 18383, 24723, 101880, 20
0.00885233, 0.00711517, 0.00173553, 0, 5080, 18338, 0, 101600, 20
0.0299725, 0.0184827, 0.0114877, 0.00596497, 19023, 50742, 680436, 608736, 32
0.00549538, 0.00437901, 0.00111457, 0, 5094, 18369, 0, 101880, 20
0.0119433, 0.00827245, 0.00366848, 0.0012927, 19089, 23354, 182532, 381780, 20
0.0105728, 0.00792449, 0.00264718, 0.000876688, 10064, 19204, 106641, 201280, 20
0.00887881, 0.00546899, 0.00340883, 0.00140064, 12387, 21729, 124230, 247740, 20
0.0102065, 0.00563259, 0.00457258, 0.00234152, 25849, 23636, 223614, 516980, 20
0.0154247, 0.0091133, 0.00631001, 0.00256337, 45820, 38511, 303810, 916400, 20
0.0148389, 0.00975921, 0.00507846, 0.00195535, 52374, 38101, 235299, 1.04748e+06, 20
0.0210592, 0.0146813, 0.00637653, 0.00196048, 46849, 42706, 251781, 1.49917e+06, 32
0.0168466, 0.0121933, 0.00465195, 0.00109429, 37051, 39925, 133332, 741020, 20
0.0212469, 0.0155427, 0.00570325, 0.0016137, 32069, 40413, 219924, 641380, 20
0.00985759, 0.00649817, 0.00335786, 0.0010033, 17151, 22877, 129273, 343020, 20
0.0130445, 0.00930248, 0.00374034, 0.000572827, 18599, 36185, 57933, 371980, 20
0.0127629, 0.00965876, 0.00310172, 0.000394329, 17478, 35649, 41943, 349560, 20
0.0115135, 0.00838389, 0.0031287, 0.000290195, 17499, 35595, 24969, 349980, 20
0.014408, 0.0104211, 0.0039857, 0.00100396, 34922, 40484, 141204, 698440, 20
0.0180146, 0.0126554, 0.00535793, 0.00141035, 51601, 43907, 176382, 1.03202e+06, 20
0.0195654, 0.0127892, 0.00677423, 0.00184647, 60733, 46401, 247107, 1.94346e+06, 32
0.0184156, 0.0139352, 0.00447882, 0.000908146, 57455, 44547, 108486, 1.1491e+06, 20
0.00606665, 0.00434592, 0.00171985, 0.000352203, 17501, 16933, 39852, 350020, 20
0.0111985, 0.00788142, 0.00331568, 0.000318556, 23518, 37479, 28044, 470360, 20
0.0200453, 0.0149781, 0.00506562, 0.00171809, 40000, 43853, 263343, 800000, 20
0.0110961, 0.00853868, 0.00255606, 0.00046214, 34761, 27050, 64452, 695220, 20
0.0181069, 0.0136375, 0.0044678, 0.000688301, 45935, 44244, 66174, 918700, 20
0.017202, 0.0128817, 0.00431856, 0.0006037, 40360, 43145, 61623, 807200, 20
0.0183546, 0.0123002, 0.00605255, 0.00115432, 36538, 45117, 92742, 730760, 20
0.0196534, 0.0118968, 0.00775447, 0.00255663, 25834, 53741, 275520, 516680, 20
0.0350328, 0.0226301, 0.0124007, 0.0041323, 28645, 78740, 508605, 916640, 32
0.018379, 0.0119625, 0.00641449, 0.000772571, 10450, 61962, 81057, 209000, 20
0.0168921, 0.0113531, 0.00553743, 0.000241948, 10433, 62411, 17835, 208660, 20
0.0188469, 0.0122359, 0.0066094, 0.000825, 8485, 64293, 79704, 169700, 20
0.0170739, 0.0109672, 0.00610399, 0.000811001, 10507, 69606, 78105, 210140, 20
0.0186527, 0.0114503, 0.00720012, 0.00107617, 8628, 74351, 104550, 172560, 20
0.0172689, 0.0106853, 0.00658207, 0.0016046, 8980, 61694, 176259, 179600, 20
0.0185443, 0.0130969, 0.00544575, 0.000959248, 8463, 60681, 112422, 169260, 20
0.00274199, 0.0023153, 0.000425246, 3.1303e-05, 1387, 3710, 1353, 27740, 20
0.016976, 0.0116247, 0.00534935, 0.000808013, 7343, 58487, 73677, 146860, 20
