elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
4.8e-05,0,93,,,True,1,5,3169428,3146372,0,3402724,3321042,0
1.074807,303410,495930,0.2823051167639375,0.46134709528651163,False,1,5,3169428,3146372,0,3402724,3321042,0
2.103491,928748,1491674,0.6079011157933278,0.9679787389292054,False,1,5,3169428,3146372,0,3402724,3321042,0
3.132591,1327992,2146155,0.38795461459414105,0.6359743017157128,False,1,5,3169428,3146372,0,3402724,3321042,0
4.170578,1823801,2907498,0.477663918173474,0.7334801918762007,False,1,5,3169428,3146372,0,3402724,3321042,0
5.208147,2451428,3790978,0.6049015422438284,0.851490478487346,False,1,5,3169428,3146372,0,3402724,3321042,0
6.235076,2750028,4362468,0.290769865572105,0.5565039198787753,False,1,5,3169428,3146372,0,3402724,3321042,0
7.27941,3050721,4927089,0.2879278125621713,0.5406513934699702,False,1,5,3169428,3146372,0,3402724,3321042,0
8.318347,3326211,5476416,0.26516536669722646,0.5287396834429101,False,1,5,3169428,3146372,0,3402724,3321042,0
9.359702,3851435,6246609,0.5043658222771482,0.7396063884306574,False,1,5,3169428,3146372,0,3402724,3321042,0
10.399496,4142260,6789094,0.2796949898733742,0.5217238427970683,True,1,5,3197216,3172972,0,3495328,3407961,0
11.514597,4519474,7459146,0.3382776874558898,0.6008887290376123,False,1,5,3197216,3172972,0,3495328,3407961,0
12.551386,5118366,8286078,0.577641444104335,0.7975898737269591,False,1,5,3197216,3172972,0,3495328,3407961,0
13.583024,5522163,8956487,0.39141354628549174,0.6498492166898473,False,1,5,3197216,3172972,0,3495328,3407961,0
14.620636,5839173,9555173,0.30551876260409494,0.5769843408990102,False,1,5,3197216,3172972,0,3495328,3407961,0
15.652971,6174444,10148115,0.32476950876529154,0.574369635507722,False,1,5,3197216,3172972,0,3495328,3407961,0
16.683949,6475940,10721999,0.2924369257594868,0.5566404619051574,False,1,5,3197216,3172972,0,3495328,3407961,0
17.724718,7439728,11889134,0.9260341480254644,1.1214155658253686,False,1,5,3197216,3172972,0,3495328,3407961,0
18.752724,8396298,13045839,0.9305102988774526,1.125193049398417,False,1,5,3197216,3172972,0,3495328,3407961,0
19.788854,9193989,14077024,0.7698751542854765,0.995227112969645,False,1,5,3197216,3172972,0,3495328,3407961,0
20.822379,10082701,15173275,0.8598851234081302,1.0606922449806981,True,1,5,3204792,3180548,0,3502944,3415578,0
21.900069,10675268,16030625,0.5498491926035751,0.795544141470374,False,1,5,3204792,3180548,0,3502944,3415578,0
22.939846,11368616,16954055,0.6668234328956291,0.8881034670018675,False,1,5,3204792,3180548,0,3502944,3415578,0
23.973549,11909515,17727444,0.5232637231972546,0.7481737027056835,False,1,5,3204792,3180548,0,3502944,3415578,0
23.995704,11910535,17733531,0.04603783084932794,0.2747375258626071,True,1,5,3204788,3181451,0,3502924,3420514,0
