elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3169328,3146272,0,7715860,2021264,11904700,1067444,0.0,0.0
1.085,3171388,3147383,0,7687596,2021264,11946380,1067444,0.0,0.0
2.122,3177572,3153380,0,7624652,2021264,12008032,1067444,0.0,0.0
3.15,3179912,3155721,0,7623584,2021264,12010120,1067444,0.0,0.0
4.18,3181112,3156921,0,7603540,2021264,12014056,1067444,0.0,0.0
5.218,3188140,3163949,0,7594712,2021264,12026912,1067444,0.0,0.0
6.256,3192216,3168007,0,7595488,2021264,12030560,1067444,0.0,0.0
7.283,3194956,3170747,0,7601704,2021264,12032596,1067444,0.0,0.0
8.327,3196816,3172590,0,7598712,2021264,12035436,1067444,0.0,0.0
9.366,3197216,3172972,0,7598032,2021264,12034376,1067444,0.0,0.0
10.406,3197216,3172972,0,7598340,2021264,12034700,1067444,0.0,0.0
11.522,3198292,3174047,0,7601104,2021264,12035472,1067444,0.0,0.0
12.562,3199388,3175144,0,7601076,2021264,12036632,1067444,0.0,0.0
13.598,3199392,3175147,0,7601328,2021264,12036864,1067444,0.0,0.0
14.63,3201808,3177564,0,7600528,2021264,12039544,1067444,0.0,0.0
15.668,3202208,3177963,0,7587208,2021264,12039912,1067444,0.0,0.0
16.699,3203212,3178967,0,7587952,2021264,12041968,1067444,0.0,0.0
17.732,3203820,3179576,0,7586972,2021264,12042068,1067444,0.0,0.0
18.772,3203828,3179583,0,7586316,2021264,12042156,1067444,0.0,0.0
19.799,3204740,3180495,0,7588016,2021264,12042836,1067444,0.0,0.0
20.837,3204788,3180548,0,7552140,2021264,12043456,1067444,0.0,0.0
21.909,3204820,3180575,0,7578340,2021264,12044008,1067444,0.0,0.0
22.948,3204824,3180579,0,7586232,2021264,12044068,1067444,0.0,0.0
23.987,3204788,3181451,0,7616428,2021264,12005536,1067444,0.0,0.0
24.019,3204788,3181451,0,7615924,2021264,12005864,1067444,0.0,0.0
