elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
5.1e-05,0,122,,,True,1,5,3168992,3145490,0,3401752,3319520,0
1.094319,310549,512256,0.28379611364537144,0.46801515659576637,False,1,5,3168992,3145490,0,3401752,3319520,0
2.123501,1014561,1564737,0.6840502069074034,1.022638599649027,False,1,5,3168992,3145490,0,3401752,3319520,0
3.161131,1623011,2394659,0.58638384694301,0.7998239050417236,False,1,5,3168992,3145490,0,3401752,3319520,0
4.191606,2058244,3050596,0.42236165649111507,0.636538676694581,False,1,5,3168992,3145490,0,3401752,3319520,0
5.227698,2444840,3680033,0.3731290876408885,0.6075108214710394,False,1,5,3168992,3145490,0,3401752,3319520,0
6.272849,2838061,4309891,0.37623370510467724,0.6026478978229083,False,1,5,3168992,3145490,0,3401752,3319520,0
7.313173,3214554,4948119,0.3618995932274904,0.6134893705497705,False,1,5,3168992,3145490,0,3401752,3319520,0
8.343184,3786599,5769226,0.5553776200170515,0.7971828290420179,False,1,5,3168992,3145490,0,3401752,3319520,0
9.378981,4357668,6566738,0.5513330866253368,0.7699503082477696,False,1,5,3168992,3145490,0,3401752,3319520,0
10.40754,4833135,7286142,0.462264951515649,0.6994286778686302,True,1,5,3194224,3169620,0,3488948,3401186,0
11.477791,5824917,8475317,0.9266821559855435,1.1111184240529761,False,1,5,3194224,3169620,0,3488948,3401186,0
12.506994,6163313,9005368,0.32879417440125475,0.5150110549047846,False,1,5,3194224,3169620,0,3488948,3401186,0
13.536165,6339654,9421708,0.17134281810456023,0.40453932375143953,False,1,5,3194224,3169620,0,3488948,3401186,0
14.564913,7117083,10380990,0.7557038158810276,0.9324749500031306,False,1,5,3194224,3169620,0,3488948,3401186,0
15.604502,7834994,11319397,0.6905717824327333,0.9026709364215815,False,1,5,3194224,3169620,0,3488948,3401186,0
16.637542,8863426,12529000,0.9955395832643134,1.1709161777689368,False,1,5,3194224,3169620,0,3488948,3401186,0
17.679061,8983850,12910137,0.11562345486517743,0.3659434723721943,False,1,5,3194224,3169620,0,3488948,3401186,0
18.715397,9103813,13279561,0.11575684213291988,0.3564712090237139,False,1,5,3194224,3169620,0,3488948,3401186,0
18.736651,9104309,13281861,0.02333626762925889,0.1082125313453537,True,1,5,3194396,3170648,0,3489100,3406331,0
