elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.001,3168992,3145490,0,7732512,2021264,11906368,1067444,0.0,0.0
1.096,3170656,3146224,0,7670928,2021264,11949036,1067444,0.0,0.0
2.139,3180968,3156369,0,7600996,2021264,12016168,1067444,0.0,0.0
3.167,3183132,3158535,0,7600480,2021264,12017356,1067444,0.0,0.0
4.206,3185480,3160880,0,7599900,2021264,12018868,1067444,0.0,0.0
5.235,3186368,3161768,0,7600348,2021264,12019828,1067444,0.0,0.0
6.272,3188364,3163763,0,7598480,2021264,12021684,1067444,0.0,0.0
7.317,3191588,3166984,0,7594908,2021264,12028500,1067444,0.0,0.0
8.357,3193856,3169252,0,7586708,2021264,12031356,1067444,0.0,0.0
9.386,3194176,3169571,0,7587924,2021264,12032156,1067444,0.0,0.0
10.423,3194224,3169620,0,7587252,2021264,12032008,1067444,0.0,0.0
11.49,3194336,3169732,0,7587556,2021264,12032156,1067444,0.0,0.0
12.522,3194336,3169732,0,7586524,2021264,12032248,1067444,0.0,0.0
13.551,3194340,3169736,0,7587092,2021264,12032320,1067444,0.0,0.0
14.58,3194344,3169740,0,7588228,2021264,12032588,1067444,0.0,0.0
15.609,3194428,3169824,0,7588396,2021264,12032468,1067444,0.0,0.0
16.649,3194428,3169824,0,7587340,2021264,12033812,1067444,0.0,0.0
17.681,3194428,3169823,0,7588752,2021264,12032344,1067444,0.0,0.0
18.724,3194396,3170648,0,7609616,2021264,11995048,1067444,0.0,0.0
18.758,3194396,3170648,0,7609616,2021264,11995660,1067444,0.0,0.0
