elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
5.8e-05,0,149,,,True,1,5,3168748,3145383,0,3397684,3314189,0
1.08266,498030,698546,0.46003076974899093,0.6451099522124893,False,1,5,3168748,3145383,0,3397684,3314189,0
2.114013,851983,1382572,0.3431928648497964,0.6632316792674361,False,1,5,3168748,3145383,0,3397684,3314189,0
3.144731,1376803,2161264,0.5091789197336484,0.7554848354964258,False,1,5,3168748,3145383,0,3397684,3314189,0
4.184209,1820763,2857321,0.4270992557499577,0.669622098070881,False,1,5,3168748,3145383,0,3397684,3314189,0
5.215715,2393425,3675867,0.5551707772920116,0.7935445674224357,False,1,5,3168748,3145383,0,3397684,3314189,0
6.253607,2913656,4453131,0.5012377841017432,0.7488867157513822,False,1,5,3168748,3145383,0,3397684,3314189,0
7.292793,4065787,5814062,1.10868632267301,1.3096128702393235,False,1,5,3168748,3145383,0,3397684,3314189,0
8.33112,5216572,7155607,1.1083067839780731,1.2920253779045296,False,1,5,3168748,3145383,0,3397684,3314189,0
9.370151,6301145,8427983,1.0438311280882837,1.2245793279313222,False,1,5,3168748,3145383,0,3397684,3314189,0
10.412755,7432090,9744723,1.0847315598009948,1.2629344787344758,True,1,5,3191264,3166817,0,3469812,3380818,0
11.503621,7697266,10302061,0.24308762335290987,0.510913392706218,False,1,5,3191264,3166817,0,3469812,3380818,0
11.531206,7698002,10306058,0.026680594706132234,0.14489447967447083,True,1,5,3191212,3167627,0,3469652,3385667,0
