elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
7.6e-05,0,1391,,,True,1,4,3275720,3251515,0,3347680,3301920,0
1.08979,517853,563019,0.4752190062823529,0.5153900818578734,False,1,4,3275720,3251515,0,3347680,3301920,0
2.127633,1863235,1950812,1.2963258374556408,1.3371904209659977,False,1,4,3275720,3251515,0,3347680,3301920,0
3.164822,3186014,3314157,1.2753501585565337,1.3144616462139613,False,1,4,3275720,3251515,0,3347680,3301920,0
4.202566,4012563,4185317,0.7964858986099066,0.8394743148113497,False,1,4,3275720,3251515,0,3347680,3301920,0
5.239691,4698876,4924402,0.6617460925641094,0.7126290931728597,False,1,4,3275720,3251515,0,3347680,3301920,0
6.279629,5360700,5633600,0.6364071955215114,0.6819618361520055,False,1,4,3275720,3251515,0,3347680,3301920,0
7.311111,5975123,6290355,0.595669921168003,0.6367098872872463,False,1,4,3275720,3251515,0,3347680,3301920,0
8.350706,6569386,6928513,0.5716295998121115,0.6138527927145009,False,1,4,3275720,3251515,0,3347680,3301920,0
9.390974,7365522,7768680,0.7653176338927415,0.8076441971155217,False,1,4,3275720,3251515,0,3347680,3301920,0
10.421911,7963561,8404746,0.5800928766626617,0.6169787516989905,True,1,4,3396956,3371083,0,3466764,3415376,0
11.496232,8999358,9480663,0.9641410705225493,1.0014855885597367,False,1,4,3396956,3371083,0,3466764,3415376,0
12.535266,10338485,10863306,1.2888194596765292,1.3307006760266469,False,1,4,3396956,3371083,0,3466764,3415376,0
13.574267,11738453,12308526,1.3474172647530978,1.3909706360191603,False,1,4,3396956,3371083,0,3466764,3415376,0
14.613258,13079213,13690945,1.2904440867984852,1.3305397118260354,False,1,4,3396956,3371083,0,3466764,3415376,0
15.65176,14382020,15037157,1.2545061666529045,1.2963019508047928,False,1,4,3396956,3371083,0,3466764,3415376,0
16.688979,15574952,16271939,1.1501256039611707,1.1904738857792247,False,1,4,3396956,3371083,0,3466764,3415376,0
17.727531,16902792,17638837,1.2785497317623546,1.3161578738752402,False,1,4,3396956,3371083,0,3466764,3415376,0
