elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3273384,3249183,0,7177232,2094724,11111064,1206348,0.0,0.0
1.095,3286160,3260302,0,7107088,2094724,11163116,1206348,0.0,0.0
2.136,3292292,3266419,0,7099504,2094724,11166796,1206348,0.0,0.0
3.174,3300336,3274462,0,7096236,2094724,11174848,1206348,0.0,0.0
4.212,3305180,3279306,0,7097320,2094724,11178684,1206348,0.0,0.0
5.249,3395496,3369622,0,7023456,2097148,11188996,1208772,0.0,0.0
6.286,3395496,3369623,0,6968416,2097148,11188544,1208772,0.0,0.0
7.326,3396024,3370150,0,6970284,2097148,11188804,1208772,0.0,0.0
8.358,3396192,3370318,0,6970220,2097148,11189024,1208772,0.0,0.0
9.396,3396204,3370330,0,6977192,2097148,11189480,1208772,0.0,0.0
10.439,3396956,3371083,0,6983188,2097148,11189572,1208772,0.0,0.0
11.504,3398764,3372891,0,6981016,2097148,11191684,1208772,0.0,0.0
12.543,3398764,3372892,0,6976636,2097148,11192120,1208772,0.0,0.0
13.582,3400032,3374159,0,6979508,2097148,11193180,1208772,0.0,0.0
14.621,3401076,3375202,0,6980424,2097148,11193620,1208772,0.0,0.0
15.66,3402144,3376270,0,6985852,2097144,11195148,1208772,0.0,0.0
16.698,3402232,3376359,0,6987688,2097144,11195568,1208772,0.0,0.0
17.736,3402232,3376358,0,6985088,2097144,11195764,1208772,0.0,0.0
18.775,3402232,3376358,0,6963804,2097144,11196848,1208772,0.0,0.0
19.816,3402232,3376359,0,6974128,2097144,11195532,1208772,0.0,0.0
20.849,3402232,3376358,0,6972744,2097144,11195592,1208772,0.0,0.0
21.934,3402232,3376359,0,6975484,2097144,11194524,1208772,0.0,0.0
22.973,3402232,3376358,0,6969860,2097144,11194748,1208772,0.0,0.0
24.013,3402232,3376358,0,6972408,2097144,11194292,1208772,0.0,0.0
25.043,3402232,3376359,0,6970968,2097144,11194324,1208772,0.0,0.0
26.079,3402232,3376358,0,6973400,2097144,11194952,1208772,0.0,0.0
27.12,3402232,3376360,0,6975772,2097144,11194080,1208772,0.0,0.0
28.151,3402232,3376358,0,6979164,2097144,11194356,1208772,0.0,0.0
29.186,3402232,3376358,0,6983044,2097136,11196244,1208768,0.0,0.0
30.226,3402232,3376358,0,6982444,2097136,11195880,1208768,0.0,0.0
31.267,3402960,3377087,0,6989608,2097136,11196908,1208768,0.0,0.0
32.338,3405040,3379167,0,6987644,2097136,11199832,1208768,0.0,0.0
33.376,3405040,3379166,0,6988060,2097136,11199556,1208768,0.0,0.0
34.414,3414236,3388363,0,6969408,2097136,11208156,1208768,0.0,0.0
35.447,3414236,3388362,0,6971524,2097136,11208088,1208768,0.0,0.0
36.477,3414236,3388362,0,6974384,2097132,11208964,1208764,0.0,0.0
37.518,3414236,3388362,0,6973704,2097132,11208872,1208764,0.0,0.0
38.555,3414236,3388363,0,6977368,2097132,11208368,1208764,0.0,0.0
39.595,3414600,3388726,0,6978620,2097132,11208588,1208764,0.0,0.0
40.635,3414600,3388725,0,6980984,2097132,11208540,1208764,0.0,0.0
41.677,3416732,3390858,0,6985280,2097132,11211016,1208764,0.0,0.0
42.785,3417364,3391490,0,6982600,2097132,11211940,1208764,0.0,0.0
43.826,3417364,3391490,0,6980244,2097132,11211188,1208764,0.0,0.0
44.865,3418932,3393059,0,6975256,2097132,11213060,1208764,0.0,0.0
45.904,3419976,3394102,0,6979744,2097132,11213708,1208764,0.0,0.0
46.945,3419976,3394102,0,6974068,2097132,11213940,1208764,0.0,0.0
47.975,3419976,3394103,0,6981520,2097132,11214408,1208764,0.0,0.0
49.016,3419976,3394103,0,6981824,2097132,11214020,1208764,0.0,0.0
50.043,3419976,3394102,0,6981448,2097132,11214312,1208764,0.0,0.0
51.081,3419976,3394102,0,6978396,2097132,11214176,1208764,0.0,0.0
52.111,3419976,3394103,0,6980660,2097132,11214200,1208764,0.0,0.0
53.211,3419976,3394102,0,6990400,2097128,11214384,1208764,0.0,0.0
54.245,3419976,3394102,0,6994136,2097128,11214328,1208764,0.0,0.0
55.28,3419976,3394103,0,6996536,2097128,11214300,1208764,0.0,0.0
56.319,3419976,3394102,0,6997264,2097128,11214308,1208764,0.0,0.0
57.353,3419976,3394103,0,6998168,2097128,11214376,1208764,0.0,0.0
58.398,3419976,3394102,0,6995452,2097128,11215144,1208764,0.0,0.0
59.44,3419976,3394102,0,6969756,2097128,11214792,1208764,0.0,0.0
60.485,3419976,3394102,0,6970636,2097128,11214024,1208764,0.0,0.0
61.53,3419924,3395720,0,6997328,2097128,11176476,1208764,0.0,0.0
61.563,3419924,3395720,0,6997328,2097128,11175892,1208764,0.0,0.0
