Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.00890191, 0.00471633, 0.00418448, 0.00242972, 5785, 16474, 289665, 115700, 20
0.00641619, 0.00447888, 0.0019365, 0.000384266, 5823, 16526, 60885, 116460, 20
0.0110975, 0.00948287, 0.00161327, 1.4723e-05, 5785, 16479, 1353, 115700, 20
0.00804258, 0.00623631, 0.00180519, 0.00022499, 5784, 16481, 24231, 115680, 20
0.0068916, 0.00551052, 0.00138022, 0.000130662, 5748, 16383, 13284, 114960, 20
0.00535499, 0.00436492, 0.000988958, 0, 5823, 16554, 0, 116460, 20
0.00542214, 0.00435107, 0.00106963, 0, 5796, 16467, 0, 115920, 20
0.00839535, 0.00710564, 0.00128847, 0, 5812, 16490, 0, 116240, 20
0.00537923, 0.00442015, 0.000957839, 0, 5784, 16476, 0, 115680, 20
0.00639587, 0.00543315, 0.000961308, 0, 5775, 16454, 0, 115500, 20
0.0245752, 0.0197856, 0.00478784, 0, 5796, 16467, 0, 115920, 20
0.00775224, 0.00651559, 0.00123445, 0, 5807, 16483, 0, 116140, 20
0.00709595, 0.0060151, 0.00107953, 5.052e-06, 5797, 16499, 123, 115940, 20
0.0132213, 0.0109673, 0.0022526, 0.000766022, 6678, 20084, 74538, 133560, 20
0.00982028, 0.00825307, 0.00156574, 0.000331458, 7025, 19575, 36285, 140500, 20
0.006002, 0.00451962, 0.00148143, 0.000270729, 8036, 17675, 31980, 160720, 20
0.00604519, 0.00420112, 0.0018429, 0.00064173, 10305, 14595, 80073, 206100, 20
0.00481544, 0.00299176, 0.00182256, 0.000842444, 13976, 9866, 109962, 279520, 20
0.00430462, 0.00254077, 0.00176278, 0.000987432, 16736, 7783, 130995, 334720, 20
0.00546646, 0.00326146, 0.00220357, 0.00120396, 15636, 10427, 124845, 312720, 20
0.00555876, 0.00352701, 0.00203082, 0.000907127, 14847, 11662, 98523, 296940, 20
0.00549785, 0.00354735, 0.00194932, 0.000761805, 14422, 12883, 76752, 288440, 20
0.00264744, 0.00213997, 0.000506485, 0.000160036, 16070, 6303, 26322, 321400, 20
0.002109, 0.00175332, 0.000354712, 8.9666e-05, 16328, 5455, 15498, 326560, 20
0.0111716, 0.00609414, 0.00507676, 0.00264468, 20621, 22544, 268755, 412420, 20
0.00742391, 0.00473322, 0.00268903, 0.000814817, 17206, 18229, 89052, 344120, 20
0.00452687, 0.00342566, 0.00109985, 0.000248168, 14906, 9328, 26937, 298120, 20
0.0104121, 0.00682115, 0.00358983, 0.00131489, 11881, 19469, 133086, 237620, 20
0.00775213, 0.004382, 0.00336847, 0.00144056, 5954, 16532, 169002, 119080, 20
0.00745331, 0.00484846, 0.00260362, 0.000734173, 5340, 17641, 91389, 106800, 20
0.00740604, 0.00500098, 0.00240392, 0.000606221, 5206, 16974, 66297, 104120, 20
0.00750328, 0.00496805, 0.0025346, 0.000766904, 5912, 16350, 96063, 118240, 20
0.00794538, 0.00566226, 0.00228215, 0.000647285, 6672, 15716, 86346, 133440, 20
0.00685452, 0.00469482, 0.00215852, 0.000599102, 6438, 15773, 76014, 128760, 20
0.00428501, 0.00303481, 0.00124929, 0.000262925, 6520, 10911, 32841, 130400, 20
0.00532467, 0.00420742, 0.00111624, 0.000286212, 6955, 10038, 24231, 139100, 20
0.00525373, 0.00347915, 0.0017738, 0.000479431, 5651, 14511, 46494, 113020, 20
0.00598685, 0.00391044, 0.00207531, 0.000569231, 4455, 16372, 56826, 89100, 20
0.00594322, 0.00367585, 0.00226644, 0.000660384, 3559, 17419, 71463, 71180, 20
0.00647514, 0.0039772, 0.00249721, 0.000760942, 2792, 18800, 84255, 55840, 20
0.00602429, 0.0037383, 0.00228501, 0.000498813, 2566, 17912, 65067, 51320, 20
0.00568472, 0.00362379, 0.00206015, 0.0004392, 2544, 16647, 56580, 50880, 20
0.00576715, 0.00345736, 0.0023087, 0.00049663, 2183, 16564, 63714, 43660, 20
0.00561727, 0.00375121, 0.00186513, 0.000327081, 2126, 14042, 39975, 42520, 20
0.0104017, 0.00754162, 0.00285877, 0.00114814, 3951, 20423, 132717, 79020, 20
0.00644684, 0.00448901, 0.00195573, 0.000249046, 2282, 13681, 15744, 45640, 20
0.00348039, 0.00234622, 0.00113328, 0.000233424, 1424, 9607, 36162, 28480, 20
0.00235796, 0.00159911, 0.000758224, 0.00016032, 1262, 7195, 24723, 25240, 20
0.00393531, 0.00289108, 0.00104316, 0.000185577, 1669, 7777, 15498, 33380, 20
0.00519272, 0.00392217, 0.00126988, 0.000200508, 4027, 14731, 26199, 80540, 20
0.00721387, 0.00559532, 0.00161735, 0.000371076, 5483, 17157, 60024, 109660, 20
0.00178035, 0.00140674, 0.000372586, 2.1279e-05, 2578, 5316, 1845, 51560, 20
0.0043443, 0.00369093, 0.000651805, 2.3432e-05, 2469, 5337, 615, 49380, 20
0.00516214, 0.00427519, 0.000885402, 1.1794e-05, 2828, 7481, 246, 56560, 20
0.00501042, 0.00418505, 0.0008237, 0, 2870, 7544, 0, 57400, 20
0.00432768, 0.00360911, 0.000716537, 0, 2873, 7574, 0, 57460, 20
0.00569697, 0.00501249, 0.000682857, 0, 2844, 7542, 0, 56880, 20
0.00233136, 0.00194739, 0.000382954, 6.485e-06, 2884, 7598, 246, 57680, 20
0.00237731, 0.00207245, 0.000303604, 0, 2880, 7564, 0, 57600, 20
