Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.00970016, 0.00516545, 0.00453331, 0.00253948, 5823, 16526, 289296, 116460, 20
0.0115536, 0.00935423, 0.00219682, 0.000463523, 5784, 16481, 61131, 115680, 20
0.00583481, 0.00434297, 0.00149023, 0, 5823, 16554, 0, 116460, 20
0.00593376, 0.0041292, 0.00180357, 0.000236285, 5812, 16490, 29028, 116240, 20
0.00571447, 0.0044987, 0.00121388, 0, 5775, 16454, 0, 115500, 20
0.0255588, 0.0201227, 0.00543324, 0.000168144, 5807, 16483, 7134, 116140, 20
0.00638267, 0.00536712, 0.00101417, 0, 5802, 16457, 0, 116040, 20
0.00862228, 0.00652681, 0.00209387, 0.000643185, 6671, 20145, 74292, 133420, 20
0.0243224, 0.013838, 0.0104826, 0.00552121, 31711, 46608, 648333, 1.01475e+06, 32
0.0134772, 0.0100565, 0.00341964, 0.000349428, 12688, 40549, 33702, 253760, 20
0.0144301, 0.0100771, 0.00435164, 0.00064117, 12253, 40505, 79335, 245060, 20
0.0149783, 0.010433, 0.00454434, 0.00100146, 17459, 42043, 119802, 349180, 20
0.0195747, 0.012626, 0.00694765, 0.00227702, 21710, 50449, 226443, 434200, 20
0.0192974, 0.0111509, 0.00814431, 0.00313483, 25888, 47714, 302457, 517760, 20
0.0177548, 0.0113915, 0.00636254, 0.00244467, 59379, 39787, 297414, 1.18758e+06, 20
0.0163419, 0.0100266, 0.00631352, 0.00210552, 51171, 36498, 256578, 1.02342e+06, 20
0.0193243, 0.0128756, 0.00644713, 0.00210321, 47761, 38916, 277488, 955220, 20
0.0133476, 0.00935726, 0.00398916, 0.000820653, 37874, 35797, 93357, 757480, 20
0.0163239, 0.0118022, 0.00452012, 0.00089992, 42660, 38986, 113775, 853200, 20
0.0185425, 0.0135723, 0.00496867, 0.00105744, 45528, 41174, 117465, 910560, 20
0.0196449, 0.0143512, 0.00529232, 0.00142924, 65903, 40569, 168141, 1.31806e+06, 20
0.0191158, 0.0136194, 0.00549496, 0.00155359, 67525, 41841, 176013, 1.3505e+06, 20
0.0196537, 0.0119535, 0.00769918, 0.00230157, 45053, 42730, 199014, 901060, 20
0.00854332, 0.00551533, 0.00302626, 0.000925492, 43267, 20069, 143049, 865340, 20
0.0093556, 0.00614871, 0.00320557, 0.00108461, 40956, 19609, 150060, 819120, 20
0.0121652, 0.00845518, 0.00370904, 0.000604397, 40732, 38328, 81672, 814640, 20
0.0143411, 0.010441, 0.00389879, 0.000698134, 46854, 41949, 95325, 937080, 20
0.0164322, 0.0120926, 0.00433814, 0.000649884, 48550, 43129, 79950, 971000, 20
0.0108051, 0.00794292, 0.0028605, 0.000544286, 42248, 24048, 74661, 844960, 20
0.0127671, 0.00820863, 0.00455739, 0.00168995, 46614, 28161, 170601, 932280, 20
0.00795675, 0.00482479, 0.00313071, 0.000953724, 14280, 17921, 122877, 285600, 20
0.00709687, 0.00426992, 0.00282618, 0.000914006, 8553, 16732, 113037, 171060, 20
0.00870435, 0.00564433, 0.00305892, 0.00109296, 13727, 15892, 164328, 274540, 20
0.0057316, 0.00449576, 0.00123436, 0.000182197, 5291, 11759, 22140, 105820, 20
0.00514232, 0.00400439, 0.00113638, 0.000166958, 5042, 7490, 10824, 100840, 20
0.00227191, 0.00153482, 0.000735148, 0.000255646, 455, 2611, 14145, 9100, 20
0.00551741, 0.00388452, 0.00163151, 0.000628523, 3063, 8273, 86715, 61260, 20
0.00572522, 0.00446627, 0.00125733, 0.000158502, 4175, 8962, 17220, 83500, 20
0.00495484, 0.00405382, 0.000899371, 3.3492e-05, 3195, 8338, 1845, 63900, 20
0.0051298, 0.00413126, 0.000996176, 2.4429e-05, 3190, 8334, 861, 63800, 20
0.0065209, 0.00571084, 0.000808179, 9.699e-06, 3192, 8329, 246, 63840, 20
0.0042667, 0.00349005, 0.000775163, 7.981e-06, 3223, 8435, 246, 64460, 20
0.00424309, 0.003539, 0.00070259, 1.7046e-05, 3212, 8385, 615, 64240, 20
