elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3168312,3145130,0,6930244,2095252,10034404,1206972,0.0,0.0
1.099,3170428,3146240,0,6887756,2095252,10074916,1206972,0.0,0.0
2.137,3179340,3154958,0,6819800,2095252,10143196,1206972,0.0,0.0
3.165,3184896,3160513,0,6833476,2095252,10149632,1206972,0.0,0.0
4.198,3189972,3165590,0,6835328,2095252,10156556,1206972,0.0,0.0
5.243,3192820,3168442,0,6835896,2095252,10159816,1206972,0.0,0.0
6.278,3195168,3170785,0,6839016,2095252,10161900,1206972,0.0,0.0
7.318,3195168,3170786,0,6846880,2095252,10162456,1206972,0.0,0.0
8.36,3195580,3171198,0,6853064,2095252,10162468,1206972,0.0,0.0
9.4,3196648,3172265,0,6853792,2095252,10164060,1206972,0.0,0.0
10.441,3196648,3172266,0,6858448,2095252,10164996,1206972,0.0,0.0
11.508,3196596,3173133,0,6884068,2095252,10126952,1206972,0.0,0.0
11.541,3196596,3173133,0,6884068,2095252,10126940,1206972,0.0,0.0
