Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0118516, 0.00762203, 0.00422828, 0.00251473, 5745, 16423, 289173, 114900, 20
0.0133008, 0.0107098, 0.00258935, 0.000582692, 5808, 16447, 70848, 116160, 20
0.00499717, 0.00393411, 0.0010621, 1.6582e-05, 5796, 16479, 1599, 115920, 20
0.00624657, 0.00450685, 0.00173801, 0.000183174, 5798, 16470, 17466, 115960, 20
0.00593794, 0.00479443, 0.00114233, 0, 5769, 16424, 0, 115380, 20
0.00792572, 0.00661207, 0.001312, 0, 5769, 16411, 0, 115380, 20
0.00744354, 0.00604497, 0.00139718, 0.000117972, 5821, 16536, 9348, 116420, 20
0.00766194, 0.00547923, 0.0021817, 0.000678396, 6678, 20166, 73431, 133560, 20
0.00723188, 0.00531842, 0.00191235, 0.000419326, 7873, 17874, 42927, 157460, 20
0.005131, 0.0029701, 0.00215991, 0.00106215, 13626, 10235, 145509, 272520, 20
0.00364421, 0.0019098, 0.00173347, 0.000984322, 39076, 5726, 142680, 781520, 20
0.00499544, 0.00432158, 0.000672437, 0.000176002, 45409, 4564, 7257, 908180, 20
0.00287437, 0.00256681, 0.000306017, 2.823e-05, 45474, 4569, 1476, 909480, 20
0.00214322, 0.00165387, 0.000488278, 0.000125466, 48642, 5090, 16482, 972840, 20
0.00307086, 0.002465, 0.000604649, 0.000218604, 35531, 5397, 29397, 710620, 20
0.00479061, 0.00346891, 0.00131869, 0.000454755, 47024, 11842, 62853, 940480, 20
0.00689366, 0.00605125, 0.000840636, 0.000146818, 45538, 11328, 13038, 910760, 20
0.00697315, 0.00622637, 0.00074554, 6.8373e-05, 45767, 11566, 5166, 915340, 20
0.00427201, 0.00349261, 0.000778401, 0.000217956, 41679, 9897, 27183, 833580, 20
0.00249709, 0.00168549, 0.000810688, 0.000416629, 38564, 5067, 57810, 771280, 20
0.00718806, 0.00485887, 0.00232803, 0.0007818, 62052, 16322, 100860, 1.24104e+06, 20
0.00948244, 0.00771554, 0.00176572, 0.000315079, 66251, 18261, 33702, 1.32502e+06, 20
0.00654492, 0.00495849, 0.00158527, 0.000188696, 56707, 17512, 22386, 1.13414e+06, 20
0.00536619, 0.00452727, 0.000838147, 4.3533e-05, 56690, 17551, 4797, 1.1338e+06, 20
0.0100971, 0.0087605, 0.00133484, 0.000104954, 56665, 17532, 10209, 1.1333e+06, 20
0.00832596, 0.00678047, 0.00154373, 0.000169469, 62275, 16895, 17466, 1.2455e+06, 20
0.00778868, 0.00593094, 0.00185626, 0.00027728, 60216, 21030, 28167, 1.20432e+06, 20
0.00795118, 0.00602518, 0.00192477, 0.000519245, 54486, 17441, 66297, 1.08972e+06, 20
0.00598396, 0.00488664, 0.00109627, 0.000163019, 52901, 13630, 13038, 1.05802e+06, 20
0.00479096, 0.00389907, 0.000890848, 5.595e-05, 35186, 12491, 4428, 703720, 20
0.00564443, 0.00451711, 0.00112429, 8.9234e-05, 32553, 13358, 5904, 651060, 20
