Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0276775, 0.0130063, 0.0146702, 0.00847445, 21603, 45810, 961368, 691296, 32
0.0200914, 0.0145503, 0.0055394, 0.000859228, 21568, 45706, 108855, 690176, 32
0.0307682, 0.0227261, 0.00804062, 0.00137359, 21591, 45726, 120171, 690912, 32
0.0171732, 0.0136847, 0.00348729, 7.6673e-05, 21489, 45614, 3936, 687648, 32
0.0185951, 0.0153053, 0.00328859, 0.000169581, 21530, 45588, 12423, 688960, 32
0.0174237, 0.0139929, 0.0034294, 0.000271433, 21660, 45849, 20664, 693120, 32
0.0269696, 0.0217444, 0.00522394, 0.00116699, 30096, 47774, 133086, 963072, 32
0.0240626, 0.0162463, 0.007815, 0.00255477, 26396, 52244, 203811, 844672, 32
0.0255021, 0.016752, 0.00874883, 0.00347445, 45582, 51505, 317094, 1.45862e+06, 32
0.0191432, 0.0116471, 0.00749477, 0.0027409, 50494, 39300, 327672, 1.61581e+06, 32
0.021854, 0.0140071, 0.00784561, 0.00304188, 53505, 43191, 394338, 1.71216e+06, 32
0.0209856, 0.0142144, 0.00676966, 0.00221401, 58172, 44161, 281055, 1.8615e+06, 32
0.0397917, 0.0303618, 0.00942785, 0.00242567, 50887, 40308, 110208, 1.62838e+06, 32
0.0231765, 0.0177935, 0.00538182, 0.00102122, 53542, 44243, 112299, 1.71334e+06, 32
0.0195989, 0.0138701, 0.00572781, 0.00119572, 46410, 45553, 144648, 1.48512e+06, 32
0.0252874, 0.0193349, 0.00595141, 0.00169699, 41090, 44300, 225336, 1.31488e+06, 32
0.0185836, 0.0126929, 0.00588937, 0.00168935, 52190, 43163, 225705, 1.67008e+06, 32
0.0202411, 0.0142759, 0.00596416, 0.00141678, 49985, 46173, 186099, 1.59952e+06, 32
0.0180851, 0.013176, 0.0049073, 0.000927913, 59412, 43161, 116481, 1.90118e+06, 32
0.019636, 0.014619, 0.00501555, 0.000651482, 49930, 45668, 70110, 1.59776e+06, 32
0.0204612, 0.0137582, 0.00670182, 0.00215208, 49389, 49421, 235053, 1.58045e+06, 32
0.0285891, 0.0178345, 0.0107529, 0.00418956, 54283, 63665, 504915, 1.73706e+06, 32
0.0306463, 0.0180475, 0.0125981, 0.00336968, 23751, 70946, 367401, 760032, 32
0.0293724, 0.0191874, 0.0101838, 0.00219207, 24808, 84357, 279948, 793856, 32
0.0277831, 0.0192631, 0.00851851, 0.00250759, 26432, 67818, 342924, 845824, 32
