elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3168644,3145123,0,7025260,2094084,10074308,1205828,0.0,0.0
1.115,3174488,3149866,0,6966212,2094084,10119268,1205828,0.0,0.0
2.148,3181540,3156851,0,6911380,2094084,10182108,1205828,0.0,0.0
3.179,3185812,3161119,0,6904776,2094084,10190980,1205828,0.0,0.0
4.221,3186812,3162119,0,6905428,2094084,10192032,1205828,0.0,0.0
5.261,3190516,3165822,0,6897504,2094084,10202572,1205828,0.0,0.0
6.302,3191224,3166527,0,6898060,2094084,10206224,1205828,0.0,0.0
7.343,3191792,3167095,0,6937308,2094084,10140404,1205828,0.0,0.0
8.384,3191740,3167975,0,6961556,2094084,10101516,1205828,0.0,0.0
8.413,3191740,3167975,0,6961556,2094084,10102024,1205828,0.0,0.0
