Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0122331, 0.00799765, 0.00423394, 0.00246488, 5769, 16411, 291018, 115380, 20
0.00609746, 0.0042626, 0.00183409, 0.000447601, 5803, 16536, 73677, 116060, 20
0.0190513, 0.0118526, 0.00719742, 8.808e-06, 5803, 16536, 246, 116060, 20
0.00952564, 0.00799006, 0.00153425, 0.000130011, 5796, 16462, 13038, 115920, 20
0.00719943, 0.00604932, 0.00114909, 0, 5813, 16549, 0, 116260, 20
0.00758618, 0.00537179, 0.00221192, 0.00085648, 9981, 14872, 112422, 199620, 20
0.00710861, 0.00315885, 0.00394851, 0.00251066, 14457, 12073, 261867, 289140, 20
0.00529442, 0.00315371, 0.00213974, 0.0010193, 16793, 9545, 162237, 335860, 20
0.0044385, 0.0024934, 0.00194344, 0.000991701, 11868, 8044, 177981, 237360, 20
0.00556006, 0.0034131, 0.00214582, 0.00098316, 12014, 11899, 106641, 240280, 20
0.00894804, 0.00502483, 0.00392229, 0.00223668, 2249, 14217, 202827, 44980, 20
0.0105023, 0.00692381, 0.00357646, 0.00158318, 2736, 17319, 166911, 54720, 20
0.00699156, 0.0048406, 0.00214957, 0.000795027, 1326, 8562, 71340, 26520, 20
0.00314136, 0.0021004, 0.00103945, 0.000317768, 1766, 4173, 31611, 35320, 20
