elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3264192,3240218,0,7142020,2093748,10108772,1205528,0.0,0.0
1.097,3284528,3258601,0,7061888,2093744,10163676,1205524,0.0,0.0
2.139,3285220,3259293,0,7067388,2093744,10164356,1205524,0.0,0.0
3.17,3288672,3262745,0,7066476,2093744,10167844,1205524,0.0,0.0
4.204,3291372,3265446,0,7063664,2093740,10170384,1205520,0.0,0.0
5.233,3396288,3370362,0,6933952,2093740,10275368,1205520,0.0,0.0
6.273,3398660,3372733,0,6949032,2093740,10278076,1205520,0.0,0.0
7.319,3400740,3374813,0,6951816,2093740,10278164,1205520,0.0,0.0
8.358,3400740,3374813,0,6951496,2093740,10277608,1205520,0.0,0.0
9.4,3400688,3376467,0,6995364,2093740,10239852,1205520,0.0,0.0
9.434,3400688,3376467,0,6994860,2093740,10240676,1205520,0.0,0.0
