Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0316917, 0.0153456, 0.0163442, 0.00944784, 21603, 45810, 961368, 691296, 32
0.0200692, 0.014393, 0.00567476, 0.000842973, 21568, 45706, 108855, 690176, 32
0.0197755, 0.0126413, 0.00713278, 0.00103029, 21591, 45726, 120171, 690912, 32
0.0176675, 0.0141585, 0.00350813, 7.6587e-05, 21489, 45614, 3936, 687648, 32
0.0155156, 0.0123031, 0.00321154, 0.00016966, 21530, 45588, 12423, 688960, 32
0.0253227, 0.0171617, 0.0081594, 0.00301531, 31069, 54708, 354855, 994208, 32
0.0235444, 0.0137122, 0.00983102, 0.00458532, 48896, 45143, 531360, 1.56467e+06, 32
0.0166064, 0.0118403, 0.00476432, 0.00128151, 41833, 41894, 173922, 1.33866e+06, 32
0.0190728, 0.0138314, 0.00524015, 0.00142724, 49170, 44038, 188928, 1.57344e+06, 32
0.0215358, 0.0142055, 0.0073291, 0.00235619, 42989, 41728, 337020, 1.37565e+06, 32
0.0243994, 0.0163703, 0.00802728, 0.00320118, 51823, 46890, 495690, 1.65834e+06, 32
0.021447, 0.0159403, 0.00550477, 0.00153483, 56339, 46627, 222138, 1.80285e+06, 32
0.0183529, 0.0121277, 0.006224, 0.00177963, 49098, 43009, 280071, 1.57114e+06, 32
0.0352238, 0.0238824, 0.0113397, 0.00456782, 35456, 60928, 622380, 1.13459e+06, 32
0.0318724, 0.0239747, 0.00789598, 0.00164319, 27125, 61907, 216972, 868000, 32
0.0354558, 0.0231403, 0.0123141, 0.00323402, 24160, 83815, 335544, 773120, 32
0.03447, 0.0217612, 0.0127068, 0.00366472, 27906, 79319, 506760, 892992, 32
0.0231227, 0.0167847, 0.0063365, 0.00120574, 21672, 62188, 140466, 693504, 32
0.0183177, 0.0136241, 0.00469282, 0.000726626, 20109, 63702, 101229, 643488, 32
