elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
8e-05,0,2249,,,True,1,5,3169676,3146101,0,3404820,3321189,0
1.096222,129174,322365,0.11784424810993668,0.2920388725901535,False,1,5,3169676,3146101,0,3404820,3321189,0
2.126426,580534,1067706,0.43812678571306923,0.7234886932607337,False,1,5,3169676,3146101,0,3404820,3321189,0
3.157707,809596,1493636,0.22211408248272058,0.41301067462898766,False,1,5,3169676,3146101,0,3404820,3321189,0
4.192001,1555555,2423677,0.7212250645584998,0.8992034150228789,False,1,5,3169676,3146101,0,3404820,3321189,0
5.228929,1965892,3047318,0.39572364178630043,0.6014312325899204,False,1,5,3169676,3146101,0,3404820,3321189,0
6.261481,2345853,3663006,0.36798252519345787,0.5962781047826217,False,1,5,3169676,3146101,0,3404820,3321189,0
7.298119,3148885,4648606,0.7746499162274644,0.9507652963191864,False,1,5,3169676,3146101,0,3404820,3321189,0
8.329801,3616568,5327993,0.4533212062050583,0.6585241163780508,False,1,5,3169676,3146101,0,3404820,3321189,0
9.368746,3852314,5799270,0.22690898161302225,0.45361102257361857,False,1,5,3169676,3146101,0,3404820,3321189,0
10.399243,4013375,6183555,0.1562945432963029,0.3729124280280127,True,1,5,3194432,3170775,0,3492844,3409009,0
10.459722,4015061,6192127,0.02787730815845835,0.14173445168108242,True,1,5,3194432,3170775,0,3492844,3409009,0
