elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3166428,3142966,0,7032380,2093308,10205736,1205112,0.0,0.0
1.106,3179996,3155450,0,6956420,2093308,10260532,1205112,0.0,0.0
2.142,3182628,3158060,0,6913404,2093308,10316624,1205112,0.0,0.0
3.183,3186024,3161441,0,6907704,2093308,10321620,1205112,0.0,0.0
4.227,3189536,3164954,0,6914296,2093308,10326556,1205112,0.0,0.0
5.268,3193316,3168722,0,6909456,2093308,10333552,1205112,0.0,0.0
6.319,3194564,3169971,0,6878900,2093308,10338160,1205112,0.0,0.0
7.351,3195856,3171263,0,6884068,2093308,10339788,1205112,0.0,0.0
8.397,3198204,3173611,0,6877020,2093308,10343076,1205112,0.0,0.0
9.443,3198248,3173647,0,6878388,2093308,10345144,1205112,0.0,0.0
10.481,3198224,3173721,0,6877708,2093308,10343584,1205112,0.0,0.0
10.556,3198228,3174514,0,6909464,2093308,10307808,1205112,0.0,0.0
