elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3264176,3240064,0,7121628,2093616,10121312,1205404,0.0,0.0
1.116,3284532,3258533,0,7067224,2093616,10175624,1205404,0.0,0.0
2.151,3285216,3259218,0,7072308,2093616,10176324,1205404,0.0,0.0
3.185,3288352,3262354,0,7066628,2093616,10181424,1205404,0.0,0.0
4.218,3289788,3263789,0,7053896,2093616,10182876,1205404,0.0,0.0
5.258,3385632,3359634,0,6944876,2093616,10279140,1205404,0.0,0.0
6.303,3387944,3361946,0,6942692,2093616,10281808,1205404,0.0,0.0
7.349,3390016,3364018,0,6936212,2093616,10281880,1205404,0.0,0.0
8.394,3390032,3364034,0,6935428,2093616,10281380,1205404,0.0,0.0
9.428,3389980,3365617,0,6979272,2093616,10244148,1205404,0.0,0.0
9.468,3389980,3365617,0,6979272,2093616,10244488,1205404,0.0,0.0
