elapsed_s,fsm_rss_kib,fsm_pss_kib,fsm_swap_kib,system_available_kib,system_swap_used_kib,cgroup_memory_kib,cgroup_swap_kib,psi_some_avg10,psi_full_avg10
0.0,3166112,3142888,0,7073620,2093560,10149368,1205352,0.0,0.0
1.104,3169180,3145015,0,7004924,2093560,10190740,1205352,0.0,0.0
2.131,3171008,3146805,0,6961356,2093560,10246124,1205352,0.0,0.0
3.162,3174764,3150391,0,6995124,2093560,10252388,1205352,0.0,0.0
4.196,3180676,3156297,0,6983136,2093560,10261044,1205352,0.0,0.0
5.228,3183328,3158949,0,6979232,2093560,10264020,1205352,0.0,0.0
6.268,3186068,3161689,0,6983740,2093560,10265992,1205352,0.0,0.0
7.298,3186840,3162461,0,6960616,2093560,10269020,1205352,0.0,0.0
8.338,3191208,3166829,0,6956096,2093560,10273764,1205352,0.0,0.0
9.377,3191700,3167320,0,6950524,2093560,10273960,1205352,0.0,0.0
10.422,3191916,3167536,0,6953760,2093560,10274492,1205352,0.0,0.0
11.538,3192536,3168156,0,6956908,2093560,10275276,1205352,0.0,0.0
12.579,3193164,3168784,0,6954812,2093560,10277000,1205352,0.0,0.0
13.617,3193956,3169576,0,6958960,2093560,10276812,1205352,0.0,0.0
14.66,3193956,3169576,0,6959352,2093560,10277324,1205352,0.0,0.0
15.694,3193956,3169576,0,6958976,2093560,10277856,1205352,0.0,0.0
16.734,3193968,3169588,0,6960280,2093560,10277612,1205352,0.0,0.0
17.774,3194236,3169856,0,6966908,2093560,10278728,1205352,0.0,0.0
18.817,3194304,3169924,0,6970616,2093560,10278424,1205352,0.0,0.0
19.864,3194252,3170766,0,7005628,2093560,10239960,1205352,0.0,0.0
19.897,3194252,3170766,0,7005628,2093560,10240176,1205352,0.0,0.0
