Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0124313, 0.00804479, 0.00438509, 0.00252783, 5769, 16411, 291018, 115380, 20
0.0311702, 0.0290708, 0.00209867, 0.00048527, 5803, 16536, 73677, 116060, 20
0.0192457, 0.0167694, 0.00247448, 8.381e-06, 5803, 16536, 246, 116060, 20
0.00649915, 0.00495413, 0.00154334, 0.000119977, 5796, 16462, 13038, 115920, 20
0.00579286, 0.00465359, 0.00113793, 0, 5813, 16549, 0, 116260, 20
0.00667715, 0.00434939, 0.00232551, 0.000943283, 9981, 14889, 112791, 199620, 20
0.0113648, 0.0055253, 0.00583854, 0.00358069, 48311, 15273, 370599, 966220, 20
0.00490474, 0.0035626, 0.00134083, 0.000428203, 57247, 10677, 62607, 1.14494e+06, 20
0.00945314, 0.00541246, 0.00403856, 0.00212914, 7051, 16857, 249198, 141020, 20
0.0126719, 0.00411701, 0.0085517, 0.0045575, 9293, 7636, 140097, 185860, 20
0.00347311, 0.0025735, 0.000898725, 0.000204646, 9525, 7610, 24231, 190500, 20
0.00839617, 0.00589949, 0.00249444, 0.00109547, 7507, 11137, 92373, 150140, 20
0.00752045, 0.0040978, 0.00342153, 0.00183566, 2037, 15969, 171708, 40740, 20
0.00387928, 0.00225609, 0.00162191, 0.000718661, 1504, 7230, 78228, 30080, 20
0.00188965, 0.00126502, 0.000622755, 0.000231131, 912, 2366, 18819, 18240, 20
0.00648534, 0.00423689, 0.00224589, 0.00109902, 1523, 4754, 52398, 30460, 20
