Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0110571, 0.00696284, 0.00409296, 0.00242478, 5769, 16411, 291018, 115380, 20
0.0443343, 0.0315991, 0.0127337, 0.00673523, 21660, 45849, 739845, 693120, 32
0.0647339, 0.0576031, 0.00712731, 0.000305376, 21644, 45827, 20049, 692608, 32
0.0200651, 0.0140649, 0.00599861, 0.00087599, 21565, 45714, 109347, 690080, 32
0.0159647, 0.01263, 0.00333348, 0, 21669, 45836, 0, 693408, 32
0.0250758, 0.0158283, 0.00924573, 0.00253246, 25754, 51534, 287697, 824128, 32
0.0227406, 0.0146133, 0.00812655, 0.00355656, 58579, 48279, 421152, 1.87453e+06, 32
0.0221689, 0.01594, 0.00622743, 0.00162631, 33375, 45824, 203565, 1.068e+06, 32
0.0159518, 0.0108808, 0.00506956, 0.00143633, 46741, 38443, 171339, 1.49571e+06, 32
0.0219373, 0.0128531, 0.00908235, 0.00324181, 52200, 42833, 405654, 1.6704e+06, 32
0.021853, 0.0138398, 0.00801171, 0.00289873, 45992, 46528, 410451, 1.47174e+06, 32
0.0226929, 0.0156981, 0.00699313, 0.00244407, 69254, 48804, 365433, 2.21613e+06, 32
0.0171614, 0.0127072, 0.00445288, 0.000829001, 45015, 44031, 102213, 1.44048e+06, 32
0.0227998, 0.0170544, 0.00574078, 0.00109781, 51905, 47909, 128289, 1.66096e+06, 32
0.0178527, 0.0136148, 0.00423596, 0.000639022, 45946, 44074, 71094, 1.47027e+06, 32
0.0239485, 0.0180799, 0.00586676, 0.00103701, 50574, 46862, 107133, 1.61837e+06, 32
0.0193368, 0.0148572, 0.00447799, 0.000599672, 42472, 42732, 66174, 1.3591e+06, 32
0.0210106, 0.0156963, 0.00531246, 0.000638047, 44758, 43872, 58671, 1.43226e+06, 32
0.0425231, 0.0244531, 0.0180674, 0.0080758, 30055, 69218, 819057, 961760, 32
0.027834, 0.0182731, 0.00955879, 0.00215064, 22126, 67918, 247845, 708032, 32
0.0369823, 0.0243425, 0.0126378, 0.00256527, 26234, 84692, 251043, 839488, 32
0.0326586, 0.0223591, 0.0102978, 0.00139993, 19733, 76442, 146616, 631456, 32
0.0343498, 0.0237216, 0.0106265, 0.00200615, 19975, 79502, 168264, 639200, 32
0.0232629, 0.0175418, 0.00571913, 0.00145636, 17196, 60929, 215004, 550272, 32
0.0214765, 0.0154656, 0.00600468, 0.000716918, 17183, 60790, 68757, 549856, 32
