elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
4.4e-05,0,203,,,True,1,5,3166244,3142873,0,3400124,3316746,0
1.092174,134506,327909,0.12315932103509686,0.3000613240980139,False,1,5,3166244,3142873,0,3400124,3316746,0
2.121564,561439,1035955,0.4147437137879313,0.6878307077988574,False,1,5,3166244,3142873,0,3400124,3316746,0
3.154172,762255,1492878,0.19447465616413787,0.4424943396865109,False,1,5,3166244,3142873,0,3400124,3316746,0
4.192594,1180407,2143048,0.40268022096693445,0.626113468944479,False,1,5,3166244,3142873,0,3400124,3316746,0
5.225115,1944044,3104574,0.7395847068794548,0.9312407922441874,False,1,5,3166244,3142873,0,3400124,3316746,0
6.265561,2468783,3850270,0.504340233989145,0.7167077254116228,False,1,5,3166244,3142873,0,3400124,3316746,0
7.299849,2986153,4579794,0.5002187322148521,0.7053396416497048,False,1,5,3166244,3142873,0,3400124,3316746,0
8.340276,3140344,4999332,0.14819973666039996,0.4032363829213825,False,1,5,3166244,3142873,0,3400124,3316746,0
9.38284,3969878,6028895,0.7956668472290014,0.9875293191522377,False,1,5,3166244,3142873,0,3400124,3316746,0
10.417912,4183385,6493839,0.20627273486049513,0.4491902862059701,True,1,5,3200416,3176780,0,3503452,3419269,0
10.483864,4185836,6506281,0.037163432702022575,0.18865256208835776,True,1,5,3200416,3176780,0,3503452,3419269,0
