elapsed_s,algorithm_usage_usec,end_to_end_usage_usec,algorithm_interval_cores,end_to_end_interval_cores,memory_sampled,algorithm_pids,end_to_end_pids,algorithm_rss_kib,algorithm_pss_kib,algorithm_swap_kib,end_to_end_rss_kib,end_to_end_pss_kib,end_to_end_swap_kib
6.4e-05,0,151,,,True,1,4,3264760,3240760,0,3334304,3288431,0
1.101487,264330,298350,0.23998956912718353,0.2707397931530927,False,1,4,3264760,3240760,0,3334304,3288431,0
2.140634,479003,544154,0.20658567172235995,0.23654388046956515,False,1,4,3264760,3240760,0,3334304,3288431,0
3.179663,1084313,1186264,0.5825727377395397,0.6179904191735405,False,1,4,3264760,3240760,0,3334304,3288431,0
4.223288,1722892,1863711,0.611885467698977,0.6491287286870832,False,1,4,3264760,3240760,0,3334304,3288431,0
5.271022,2499238,2695179,0.7409762132973828,0.793586893109449,False,1,4,3264760,3240760,0,3334304,3288431,0
6.315842,3336800,3577113,0.801633256756899,0.8441018392246054,False,1,4,3264760,3240760,0,3334304,3288431,0
7.351006,4336029,4616233,0.9652858477395437,1.003821776692945,False,1,4,3264760,3240760,0,3334304,3288431,0
8.383349,5116209,5442171,0.755736754209541,0.8000611439646234,False,1,4,3264760,3240760,0,3334304,3288431,0
9.420369,5566754,5942688,0.4344611931970976,0.4826492648579647,False,1,4,3264760,3240760,0,3334304,3288431,0
9.464661,5572928,5949757,0.13939348347130515,0.15960034574970133,True,1,4,3402196,3377948,0,3472168,3426015,0
