Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber, PointCloudPayloadBytes, PointCloudPointStep
0.0387611, 0.0228845, 0.015875, 0.00887511, 21603, 45810, 961368, 691296, 32
0.0209189, 0.0156553, 0.00526234, 0.000804957, 21568, 45706, 108855, 690176, 32
0.0189513, 0.0130122, 0.0059379, 0.000939511, 21591, 45726, 120171, 690912, 32
0.0168408, 0.0133901, 0.00344919, 7.9269e-05, 21489, 45614, 3936, 687648, 32
0.0173373, 0.0139118, 0.00342427, 0.000179562, 21530, 45588, 12423, 688960, 32
0.0234004, 0.0155533, 0.00784604, 0.00289678, 25875, 53728, 312912, 828000, 32
0.0256712, 0.0170559, 0.00861343, 0.00366182, 39415, 48097, 431976, 1.26128e+06, 32
0.0174857, 0.0122092, 0.00527513, 0.00126513, 31881, 47908, 144648, 1.02019e+06, 32
0.018738, 0.013554, 0.00518247, 0.00172326, 59663, 38191, 255348, 1.90922e+06, 32
0.0202362, 0.0146189, 0.00561534, 0.00154168, 50269, 41828, 199629, 1.60861e+06, 32
0.0189025, 0.012462, 0.00643918, 0.00184255, 49104, 42878, 257070, 1.57133e+06, 32
0.0251633, 0.0155184, 0.00964312, 0.00361636, 49281, 48126, 526440, 1.57699e+06, 32
0.0198235, 0.0143125, 0.00550971, 0.00111138, 48881, 47903, 143049, 1.56419e+06, 32
0.0222382, 0.016424, 0.00581221, 0.00141016, 43348, 43776, 216357, 1.38714e+06, 32
0.0339428, 0.0220268, 0.0119144, 0.00480414, 42989, 57909, 588801, 1.37565e+06, 32
0.0238461, 0.0165224, 0.00732216, 0.00154458, 34943, 57924, 182163, 1.11818e+06, 32
0.0373645, 0.0225518, 0.0148113, 0.00506218, 22103, 79424, 493968, 707296, 32
0.0334658, 0.022832, 0.0106321, 0.00244817, 30347, 85631, 313404, 971104, 32
0.0268781, 0.0176777, 0.00919908, 0.00269277, 21442, 67276, 313281, 686144, 32
